"","t2_Ec_C.mzML","t0_Ec_C.mzML","t1_Ec_C.mzML","t0_Ec_3.mzML","t0_Ec_1.mzML","t1_Ec_2.mzML","t0_Ec_2.mzML","t3_Ec_1.mzML","t1_Ec_1.mzML","t3_Ec_3.mzML","t1_Ec_3.mzML","t2_Ec_1.mzML","t3_Ec_2.mzML","t4_Ec_3.mzML","t3_Ec_C.mzML","t4_Ec_2.mzML","t2_Ec_3.mzML","t2_Ec_2.mzML","t4_Ec_C.mzML","t5_Ec_1.mzML","t6_Ec_1.mzML","t4_Ec_1.mzML","t5_Ec_2.mzML","t5_Ec_C.mzML","t5_Ec_3.mzML","t6_Ec_2.mzML","t6_Ec_C.mzML","t6_Ec_3.mzML","t7_Ec_C.mzML","t8_Ec_2.mzML","t7_Ec_3.mzML","t7_Ec_1.mzML","t7_Ec_2.mzML","t8_Ec_3.mzML","t8_Ec_C.mzML","t9_Ec_C.mzML","t9_Ec_1.mzML","t8_Ec_1.mzML","t9_Ec_3.mzML","t9_Ec_2.mzML"
"4320_311.055_4.453",3766,3766,3766,5067.329,5129.1035,4905.7466,5449.0137,3766,4942.064,5133.682,5688.7886,5836.6543,3766,5912.529,6078.3745,6315.636,5977.984,5966.2485,5954.078,5912.322,6181.4585,5617.8643,5903.712,5244.45,6221.987,5181.342,6460.8384,5667.767,5398.0825,6176.182,4643.1436,5486.835,5427.4707,5921.6943,6530.4277,5427.798,6444.6567,5755.2437,6325.2476,6538.921
"4322_228.102_4.463",3766,3766,3766,6594.254,6789.1562,6680.7837,6881.3076,3766,6800.5225,6715.521,7009.598,6802.923,3766,7033.97,6857.2964,7038.609,7430.7217,7235.519,6622.314,7174.0923,6774.362,6839.526,7534.0005,6900.819,7489.5757,6869.608,7633.5327,6581.0283,6620.473,7174.682,6150.41,6895.451,7383.989,7225.508,7535.964,6450.9043,7097.6943,6881.386,7267.4756,6817.261
"4323_266.152_4.476",3766,3766,3766,7016.038,3766,3766,3766,6231.57,3766,3766,3766,3766,3766,3766,13004.406,24326.58,25448.582,14695.207,3766,21307.564,4324.975,13921.544,7283.7983,3766,5632.785,3766,3766,3766,3766,3766,3766,11031.249,3766,5624.0356,34874.586,3766,5742.4214,25768.098,51222.605,27664.068
"4324_251.181_4.476",3766,3766,3766,25673.76,22029.842,8675.045,21782.998,17849.3,10213.171,10665.344,11755.657,3766,3766,4859.923,18099.473,36597.863,39319.93,30969.012,9772.061,27944.133,8601.209,21979.352,12068.804,5489.072,15296.831,3766,3766,3766,13945.035,10256.101,6073.478,23634.715,5495.824,12506.788,44942.08,6094.6934,12666.409,35796.875,60979.305,36006.426
"4327_250.178_4.475",84094.74,66051.47,78908.336,235843.17,202752.2,137227.11,202022.83,179996.02,151150.23,155337.16,152861.52,116600.555,129108.77,140383.12,214423.64,306721.25,341244.8,278617.25,153353.08,266679.1,155448.45,210099.3,176360.47,146305.48,167762.31,109865.2,125644.72,110887.98,166270.06,157565.75,126812.2,216047.94,131103.8,161984.14,396432.84,147340.05,165487.05,307854.78,539142.5,325406.84
"4332_470.202_4.479",3766,3766,19113.389,18635.947,6784.137,28237.592,3766,4538.28,3766,3766,36066.758,3766,3766,7589.6763,3766,3766,3766,3766,3766,3766,3766,22377.516,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4335_498.233_4.483",3766,3766,10686.268,8930.955,3766,13745.8545,3766,3766,3766,3766,18805.748,3766,3766,4631.186,3766,3766,3766,3766,3766,3766,3766,12070.228,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4337_453.175_4.485",3766,4213.435,32771.543,28718.256,8309.004,44831.39,4237.3853,9249.361,3766,4899.2373,56013.305,3766,3766,14295.158,3766,3766,6880.922,3766,3766,3766,3766,39169.188,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4341_475.157_4.485",3766,9935.157,79351.11,56823.46,15320.637,109103.97,6535.2017,25544.504,3766,14065.2295,140335.98,3766,3766,41660.15,3766,3766,18805.361,6070.1562,3766,3766,3766,111737.766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4342_526.265_4.484",10281.883,41680.934,219462.84,227304.73,81657.25,308889.72,40428.69,62070.605,13054.737,35480.707,379676.12,3766,3766,90135.34,3766,7979.38,50161.605,14419.541,3766,3766,3766,227449.39,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4345_183.174_4.489",3766,3766,3766,5851.7554,6909.675,6306.138,5819.3174,3766,5749.2197,3766,6736.9297,5255.0854,3766,3766,4733.2754,3766,5377.0137,4860.2075,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4346_243.196_4.488",3766,3766,3766,8317.858,10136.376,9016.757,9831.263,4440.2773,8755.275,4242.349,11455.629,7597.669,3766,4031.5342,5970.1104,4358.5977,7757.6074,8163.379,5208.377,3766,3766,4757.1147,3766,4227.6543,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4348_317.105_4.496",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4971.708,3766,3766,23274.346,3766,6634.03,6589.571,23174.732,3766,3766,3766,3766,4909.163,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4349_352.238_4.494",3766,3766,3766,4925.2456,6101.663,3766,4984.0186,3766,3766,3766,4946.883,75966.44,3766,3766,170826.19,3766,73073.63,78013.766,156939.8,3766,3766,3766,3766,35437.566,3766,3766,23247.666,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4350_301.131_4.496",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,30158.012,3766,3766,88554.164,3766,32526.666,34119.312,87781.914,3766,3766,3766,3766,18126.473,3766,3766,12245.17,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4351_279.149_4.495",3766,3766,3766,7630.1333,7864.038,4670.5874,7163.638,3766,5451.5547,3766,6740.214,118634.84,3766,3766,276926.4,3766,116967.39,125614.76,259504,3766,3766,3766,3766,59015.305,3766,3766,39026.93,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"4354_403.205_4.505",3766,3766,3766,19985.223,24178.076,16867.11,29739.152,18619.066,20785.334,27741.072,30427.65,28078.963,13344.749,34285.98,27173.37,36892.594,25469.11,32512.516,28104.39,39318.293,34360.055,35287.18,34845.27,36251.785,42221.543,28795.645,37942.07,32533.992,15125.77,9959.501,17718.492,12662.959,14724.296,11101.672,9846.219,5066.4365,4476.2285,8597.553,3766,3766
"4355_356.259_4.5",3766,3766,3766,6357.8213,3766,3766,5929.361,3766,3766,7744.719,3766,3766,3766,9487.855,4564.7676,21070.635,3766,3766,8563.926,19297.695,7036.994,17262.13,20556.807,4668.692,14429.432,8717.977,3766,6708.193,8996.147,22647.38,9129.04,14355.891,7628.74,8452.389,12688.397,11137.303,9927.543,10790.963,19026.197,22681.758
"4359_332.093_4.481",3766,3766,3766,3766,3766,4557.785,3766,3766,5758.1606,6889.555,3766,11677.043,3766,7245.322,3766,7665.067,13054.849,6231.225,3766,6703.2803,7595.9263,10644.526,9605.04,3766,8333.184,10564.715,3766,7493.6997,3766,6845.914,9303.744,10327.145,12349.485,14743.033,3766,3766,6972.795,12622.902,6535.439,8585.352
"4360_316.119_4.505",3766,3766,3766,3766,3766,11712.189,3766,8712.512,13816.448,18734.98,3766,16184.385,7153.3843,17210.97,3766,19661.158,16735.076,19036.508,3766,18309.371,17977.771,15591.172,21933.396,3766,20293.656,14909.427,3766,15942.511,3766,18419.244,15550.233,14439.193,16164.629,18581.24,3766,3766,16169.36,16446.98,19326.629,20776.31
"4362_294.137_4.507",3766,3766,3766,3766,3766,121928.37,3766,68923.74,145335.64,129117.95,19069.885,133898.31,61216.273,132998.19,3766,142767.05,135240.88,151565.23,3766,123736.31,119114.88,117473.32,146649.89,3766,138232.9,111409.24,3766,116471.75,3766,129302.28,105685.15,106134.44,121632.82,122366.67,3766,3766,113718.96,108837.16,126855.125,135070.36
"4363_336.207_4.502",3766,3766,3766,3766,3766,3766,3766,3766,3766,6528.5015,3766,4285.554,3766,5972.716,6030.1074,6272.051,3766,3766,5970.4175,11391.177,7479.523,5432.7695,8071.377,8252.529,8946.005,6024.0874,10527.686,6971.776,7303.624,7996.56,6683.425,7463.192,5771.593,7707.1875,10417.056,9428.528,8793.366,8106.837,8164.0405,7359.0854
"4364_297.137_4.46",3766,3766,3766,3766,3766,4762.653,3766,3766,5994.0337,6270.072,3766,11717.776,3766,6408.9785,3766,13308.936,12717.411,11820.021,3766,5332.1978,10550.798,4672.6763,5741.7876,3766,5527.2637,8824.567,3766,4631.758,3766,11219.664,7597.1367,9489.497,10866.824,11501.972,3766,3766,8877.186,8902.554,9946.209,8676.595
