"","t2_Ec_C.mzML","t0_Ec_C.mzML","t1_Ec_C.mzML","t0_Ec_3.mzML","t0_Ec_1.mzML","t1_Ec_2.mzML","t0_Ec_2.mzML","t3_Ec_1.mzML","t1_Ec_1.mzML","t3_Ec_3.mzML","t1_Ec_3.mzML","t2_Ec_1.mzML","t3_Ec_2.mzML","t4_Ec_3.mzML","t3_Ec_C.mzML","t4_Ec_2.mzML","t2_Ec_3.mzML","t2_Ec_2.mzML","t4_Ec_C.mzML","t5_Ec_1.mzML","t6_Ec_1.mzML","t4_Ec_1.mzML","t5_Ec_2.mzML","t5_Ec_C.mzML","t5_Ec_3.mzML","t6_Ec_2.mzML","t6_Ec_C.mzML","t6_Ec_3.mzML","t7_Ec_C.mzML","t8_Ec_2.mzML","t7_Ec_3.mzML","t7_Ec_1.mzML","t7_Ec_2.mzML","t8_Ec_3.mzML","t8_Ec_C.mzML","t9_Ec_C.mzML","t9_Ec_1.mzML","t8_Ec_1.mzML","t9_Ec_3.mzML","t9_Ec_2.mzML"
"48_284.049_0.296",57190.832,12647.69,45817.29,36945.285,7563.9473,32706.104,16108.869,49327.13,22612.676,144551.81,42993.395,103408.12,141756.58,23091.436,25958.822,71652.2,25967.656,41705.992,28448.639,147599.69,57326.52,34622.098,47398.54,49831.234,152404.78,31618.234,147850.75,19026.871,63017.582,66731.82,34608.043,38022.945,65763.59,51978.453,11948.842,68534.04,62049.727,68566.64,69222.69,56783.336
"97_245.095_0.521",3766,3766,3766,63810.387,105098.74,63696.78,142389.19,20048.074,23827.398,55971.418,76873,117078.42,34443.28,62141.04,61229.266,98329.836,92136.16,60493.59,31539.266,23371.764,86572.7,57881.23,49130.547,31332.186,56877.996,48227.555,73141.85,36895.926,45772.766,45498.383,48804.12,64034.043,38520.805,46890.605,46498.23,31211.477,24871.02,35276.875,35860.074,36117.336
"105_181.097_0.521",3766,3766,3766,49561.344,75002.09,46975.82,103089.67,16139.823,16952.715,40117.45,58887.414,83179.66,25807.072,47373.645,43597.742,72381.734,67149.46,46208.46,25023.504,17744.14,65669.13,43626.12,39957.836,28384.6,43046.98,33569.805,57192.938,30222.6,34898.31,37332.293,38381.293,49773.805,31313.932,39566.18,36490.19,27539.812,20862.38,29850.8,29398.756,31549.182
"108_157.097_0.52",3766,3766,3766,3766,10152.913,4479.917,14823.354,3766,3766,6967.5522,5438.5356,19153.61,3766,7097.643,6200.591,19682.703,11528.107,5570.562,3766,3766,17488.734,4663.913,5594.8633,3766,6411.3394,10073.91,15325.049,4354.981,13108.853,15954.139,12195.675,24851.158,8405.92,14179.171,15465.478,8375.27,4496.8564,12493.275,9081.304,10506.501
"113_166.103_0.533",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"114_160.076_0.522",3766,3766,3766,183770.88,304328.34,178118.66,412781.25,144607.38,151759.14,280436,196100.77,476177.03,116820.19,355598.12,329247.16,495482.03,342406.94,343029.94,247149.9,164709.86,474401.5,245774.98,251285.4,197983.47,257045.97,341570,488413.75,258450.8,462201.34,507759.53,449601.6,733189.25,383483,505073.88,490937.5,314942.34,177482.83,435275.94,275424.5,239300.45
"120_169.097_0.525",3766,3766,3766,540843.4,741372.4,563904.4,888572.06,453367.34,318398.78,674889.5,620459.44,849212.2,387611.62,716681.6,702895.6,900353.94,790937.25,686544.8,507097.62,450944.72,915693.6,628391.44,654444.94,533841.94,720186.44,727423.94,900098.7,644932.75,822500.8,908421.5,852338.94,953751.1,771301.94,917014.3,888778.94,755401.25,684815.56,826362.56,903869.4,826194.44
"128_318.184_0.528",3766,3766,3766,76569.79,139332.52,63646.945,195599.3,22599.83,24406.703,60260.656,81481.336,137294.88,38482.867,62973.17,62674.03,102201.516,98435.42,67755.55,29426.156,22869.258,83234.76,53159.79,43684.74,29669.941,53243.246,56174.816,70540.53,42949.285,50802.438,44656.016,46362.133,71221.9,38619.9,42720.086,43765.18,29133.348,19969.846,34109.47,29521.16,31170.654
"132_166.086_0.53",3766,4464.22,3766,285792.3,391348.56,280959.06,352751.03,322712.2,275048.1,285779.25,303120.84,352444.06,298627.62,474972.25,430331.97,410411.84,350997.56,281502.5,344610.28,243557.58,386360.94,308576.16,322673.78,331286.5,622129.75,417704.6,829972.4,354802.2,700751.6,328691.88,328767.72,543273.75,340746.4,331318,349964.84,317894.03,410423.06,333462.03,459091.6,495834.94
"134_228.121_0.534",3766,3766,3766,3766,6958.1777,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,23281.645,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,7126.2993,4413.1353
"135_167.082_0.549",3766,3766,3766,108962.734,68183.79,106432.586,76041.71,69146.62,113158.53,104584.12,106535.8,88190.96,52552.71,113869.586,108893.43,99633.77,95015.805,104471.09,124382.29,121048.99,108326.74,106560.25,117108.5,117806.375,120595.6,109904.01,115910.59,115312.11,106981.33,107625.4,192491.86,97605.984,111298.31,116335.39,83799.79,108005.98,113820.336,116073.05,139616.2,120410.23
"137_176.093_0.531",3766,3766,3766,13281.074,17884.895,14651.118,21565.846,8070.4653,7316.6396,16666.902,15668.627,24827.686,6651.4697,18888.494,15628.905,24256.637,20967.717,16295.101,12941.795,10596.019,24311.574,15922.545,16786.814,14172.133,15814.057,16131.045,23948.775,15616.851,19709.408,21110.26,19148.332,22655.28,18037.613,21847.459,22825.916,16632.455,15052.646,18574.426,17283.936,17392.162
"138_235.108_0.556",3766,3766,3766,69600.01,45398.305,67533.5,47235.312,43595.598,75312.12,66721.125,69328.27,64348.902,30724.904,75165.516,71100.9,34274.004,50504.51,67748.7,82114.67,79922.42,70336.89,67988.28,74637.88,76780.25,89873.055,68813.72,75299.445,74638.94,67846.69,70980.83,70077.81,36247.67,69175.12,81237.31,66796.95,69885.56,68788.91,71292.055,97969.61,75565.164
"139_205.01_0.539",3766,3766,3766,26540.87,29645.828,28581.582,32466.02,16087.632,21793.42,32612.098,30231.668,35132.266,13560.283,34299.605,32057.918,37715.19,34058.72,31431.715,28545.992,29249.477,38821.926,30773.588,33035.277,29228.777,36717.246,34416.27,39622.547,33282.418,33695.44,33883.83,33166.72,36264.24,33902.906,34743.766,34888.754,27490.084,13366.86,32968.754,32178.635,28527.346
"146_173.071_0.548",3766,3766,3766,34696.87,37491.71,35058.418,39854.465,18256.572,28045.16,37205.28,38762.273,43397.855,15312.807,39226.273,38242.33,42606.51,41021.05,37392.883,34785.473,34635.082,44025.535,35526.34,37513.97,33865.938,41201.996,43612.066,46179.285,42807.996,47661.277,48895.543,46155.684,47845.523,46209.113,48828.074,51335.574,50743.777,50332.53,47488.117,60323.18,58120.33
"147_265.118_0.549",3766,3766,3766,36047.516,38909.95,35622.61,43592.375,24377.162,27799.945,38745.832,37423.438,43572.37,19118.611,41149.758,39692.95,45978.61,43100.996,37696.33,36330.945,34766.145,46815.457,37245.36,40035.664,36781.242,45578.45,40128.3,47788.777,40045.066,42478.95,44918.258,43340.35,44970.727,40880.574,48722.32,46904.387,39950.44,39289.805,42545.965,49127.85,45600.2
"148_189.113_0.549",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4463.528,36825.57,14713.93,19649.006,19719.355,39494.234,3904.179,3766,42648.203,26799.092,72315.95,59063.562
"150_221.093_0.552",3766,3766,3766,49207.348,51908.34,51519.938,56287.984,28661.645,42494.617,53551.2,53209.805,58688.11,22048.303,57703.832,56821.17,59885.16,58539.25,53746.887,52152.21,47129.305,64185,53464.75,56073.375,51607.61,63777.426,47317.734,64671.785,53657.582,55484.977,59107.246,56213.56,58108.61,54305.28,60872.97,59633.465,46403.723,51323.01,55787.734,64151.645,58340.723
"151_181.133_0.614",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3999.7642,3766,12018.03,3766,3766,4147.674,3766,5755.0806,7629.5195,10469.418,12698.697,6762.706,4968.128,4557.816,8359.445,3766,38848.023,36100.035,26542.742,32023.447,51059.594,4813.111,16741.568,32939.824,38098.918,45938.316,41852.207
"152_157.079_0.551",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,20831.805,5346.6416,3972.3682,5928.3716,19460.79,13474.402,19324.277,31319.957,17310.203,40198,37171.4
"153_252.126_0.559",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,177225.92,3766,3766,3766,3766,3766,3766,3766,3766,3766
"155_201.123_0.565",3766,3766,3766,1241334.9,1187343.2,1247175.5,1239862.9,1084009.2,1204454.4,1295361,1289556.8,1277143.5,840163.4,1396534.8,1352471.5,1369756.5,1349799,1333212.1,1389531.2,1390732.9,1448292.8,1312561.1,1428290.2,1404398.8,1459700.5,1289095.8,1504409.5,1368719,1322311.5,1393400.6,1397664.5,1301357.6,1382891.1,1372670.8,1389400,1318967,1354345.5,1333908.6,1472957.5,1383068
"156_310.114_0.567",3766,3766,3766,3766,3766,3766,3766,6658.9067,3766,3766,3766,16845.676,8242.646,25525.365,15152.839,31947.14,17497.816,15765.362,19776.967,10185.585,5376.1294,21740.621,10325.629,25853.129,19426.447,10646.029,47021.645,14236.981,78254.97,30624.926,30983.514,51775.293,48002.05,36211.605,30360.363,3766,5441.64,30838.982,13950.811,11346.455
"158_208.133_0.576",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,10553.68,7648.9985,6608.8105,7852.08,16880.77,10957.325,20754.48,27278.8,18830.244,28197.795,22759.184
"161_261.123_0.591",114132.77,58888.27,47641.605,62504.58,34777.54,63915.086,34676.633,39692.61,52767.453,36439.63,34381.645,54539.344,69736.9,56052.805,16793.197,81898.54,68811.32,62501.723,82973.86,40810.953,92683.96,78239.16,63574.766,65767.96,79232.65,18964.92,85969.85,62288.047,53394.812,78575.18,66937.92,60767.098,65229.56,80390.37,77641.2,89016.01,84345.75,77482.66,83077.234,85595.164
"162_183.113_0.597",3766,3766,3766,17056.361,26988.219,30776.049,13247.289,29090.633,10884.643,30124.277,24793.55,14985.409,18898.5,37212.125,25340.34,28155.291,32336.277,31744.84,37790.77,34996.73,33240.793,13559.886,35909.4,29459.764,30021.488,28812.824,38105.375,31942.076,28583.877,36593.04,34883.555,5413.9653,34929.07,35248.438,29676.992,35396.336,44453.52,22080.143,35270.484,41544.633
"163_292.121_0.669",47484.695,3766,3766,3766,3766,33508.34,3766,13990.157,3766,3766,23308.717,11133.521,28994.484,49869.008,10252.031,22202.643,43636.953,37518.344,51863.363,9320.249,16325.636,13834.127,41884.43,62204.54,53012.883,3766,69188.38,36986.45,12875.504,46346.12,42937.26,9359.518,23940.752,55869.043,62136.9,77308.016,36437.63,16902.74,60908.67,54555.156
"165_206.139_0.607",3766,34758.555,3766,16533.752,181761.08,7631.1665,3766,12944.435,3766,3766,14187.516,4854.3857,3766,3766,3766,6833.3354,27778.215,3766,69534.414,122457.7,34066.67,3766,54262.457,6987.3477,3766,3766,4679.1943,3766,11843.925,14782.142,51630.78,3766,3766,6533.261,46590.504,36412.574,52839.004,3766,68066.69,57644.77
"169_179.118_0.609",3766,3766,3766,7339.7974,5137.1206,14164.537,4223.9683,3766,9354.019,13898.901,5185.971,5395.0293,3766,9404.658,11100.657,14260.099,5986.8716,7918.729,10036.738,11436.317,15169.859,10489.236,14450.299,7171.032,3766,8951.212,18915.107,5888.9565,32231.316,25537.617,11425.095,8160.1123,3766,13252.928,68470.93,111911.555,49634.73,23032.076,37003.473,21733.748
"170_152.071_0.631",3766,3766,3766,26246.088,28019.207,24180.414,27858.328,6288.4233,23347.857,22766.373,27201.977,28350.807,3766,21197.72,26533.49,27310.127,29170.986,26242.264,23638.291,7101.061,29009.184,20545.1,26623.072,15316.217,27967.887,26359.766,30289.13,29237.701,31705.816,40209.707,38861.95,41626.47,38841.027,42794.727,40652.285,42265.406,37793.29,38058.562,41439.277,37263.81
"175_233.103_0.65",3766,3766,3766,198591.31,196373.78,203428.92,200498.73,119772.016,197735.38,201667.69,213277.4,217633.58,90516.96,210234.95,211255.39,212029.03,216510.95,217092.42,202882.44,204539.34,209887.62,201617.77,208312.67,200955.9,211299.48,180628.1,228598.97,192311.27,187669.86,198810.83,183585.72,189824.11,192633.03,194749.42,199951.86,172163.08,186139.77,187596.64,193581.38,185495.03
"178_245.128_0.686",393754.72,269538.3,42611.65,90765.19,28360.434,95538.25,81474.7,119667.69,48895.17,52707.305,100824.42,47683.902,99209.39,129726.89,97621.69,123605.03,94151.23,100361.08,132168.62,69404.68,144678.16,126118.234,113611.83,126239.484,123778.32,16265.174,140695.4,92436.695,55222.457,141647.75,119105.94,102235.61,114865.01,141549.66,134698.34,158400.1,153309.62,139463.72,166540.2,161792.53
"179_242.186_0.663",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,10552.715,24290.08,3766,26556.201,29650.096
"180_189.102_0.677",3766,3766,3766,9010.9375,4108.192,6305.613,3766,3766,6906.6523,13893.338,4182.0796,9248.977,3766,15850.514,7930.598,12991.076,14682.101,5458.6704,13795.793,9654.302,6502.0024,12289.972,10134.954,11599.331,26321.318,10922.626,23483.406,4108.3555,43172.777,68653.08,23518.102,27525.502,33147.75,68666.164,61854.7,62053.785,88839.06,64912.566,104249.92,90540.53
"181_167.082_0.663",3766,3766,3766,166865.31,108019.06,174230.33,109369.7,81847.18,154731.67,130412.836,180391.5,149766.39,87042.06,136954.83,129591.88,199816.66,105095.65,126943.945,179407.02,123555.01,205885.3,178528.11,192277.08,182591.36,206892.12,126897.93,214135.52,130975.91,190838.23,101349.875,141930.06,191359.94,107125.42,209564.98,126548.625,187229.16,144120.5,139730.52,233363.86,158672.17
"183_155.081_0.692",3766,3766,3766,27572.738,21309.375,25134.834,16082.477,14043.391,30608.512,25687.355,27229.043,21629.697,11020.446,30030.4,26861.164,22574.422,23721.64,15141.5,34322.832,21628.535,25195.578,22507.256,28502.287,35914.676,25917.734,20476.41,31547.943,17856.041,21678.898,36645.73,19002.82,13202.36,31398.713,30387.21,42009.56,45367.582,33067.938,37964.633,36214.332,57661.492
"185_235.108_0.679",3766,3766,3766,123745.305,84147.36,129765.85,87993.195,59900.03,117609.055,134752.16,134170.73,142019.84,45404.086,142865.16,139499.8,115916.336,93695.85,138370.42,135781.92,91643.62,154811.34,132994.27,142733.33,135607.66,121951.23,83361.5,113488.1,91839.94,139548.03,107511.48,144160.55,96309.25,89336.63,92583.62,106550.13,140835.2,91977.52,93121.08,112120.08,105269.85
"188_292.121_0.685",165621.12,3766,3766,3766,3766,29080.92,3766,13221.46,3766,3766,15058.435,11982.038,40494.535,66590.88,90568.58,22202.643,57301.664,34075.25,171856.92,14153.367,35071.56,16015.632,54823.625,164737.19,65912.67,3766,245958.14,46430.414,15415.506,62291.152,60934.883,13328.009,13790.994,71378.23,244416.08,212595.39,49127.105,34791.613,79479.19,71318.66
"190_251.15_0.691",3766,3766,3766,657217.06,647383.1,673192.06,695230.8,603322.3,628200.75,768404.2,656269.06,735829.5,476123.5,839780.8,774975.6,848930.8,770205.75,744780.44,787520.75,799926.9,896351,756264.4,844158.2,810447,967528.56,776935.5,937547,817893.06,899263.8,977992.6,891775,874529.25,874250.75,1007057.3,988592.5,1014613.4,1037146.06,916177,1248783.1,1084824.8
"191_162.066_0.695",3766,3766,3766,136183.27,139345.45,148686.06,141956.55,84858.57,146590.05,151209.22,154718.45,163611.64,61108.44,160336.6,158423.8,161840.02,161255.58,162324.77,162412.05,160976.08,161501.6,154028.39,163724.64,156131.78,161532.11,148773.4,187970.23,154972.58,168017.16,172410.33,164043.97,166513.53,170031.45,168651.36,180682.44,172275.44,171816.58,162834.23,169654.47,171722.62
"192_215.139_0.698",3766,3766,3766,634826.94,621677.2,647073.94,649340.44,579329.56,631269.56,663049.4,665270.1,657920.3,447455.44,716721.4,692924.9,706098.44,694107.1,680787.56,700853.25,711709.2,738376.75,664906.9,732399.94,719213.25,757741.75,629389.75,774600.94,674632.25,678751.4,744615.2,712922.6,675135.56,699909.5,729154.25,737879.94,734419.06,768069.25,699995.4,831982.2,783721.6
"194_216.143_0.697",3766,3766,3766,63620.46,40871.383,61684.027,60032.008,50372.637,49189.3,59409.09,60196.043,63818.156,28263.73,62736.598,69862.04,66990.63,64440.35,62388.02,59445.71,59133.832,69921.85,57187.527,47021.465,60804.18,72098.836,56385.223,72865.43,60909.375,67886.6,70835.08,66703.266,64841.566,64255.527,71490.1,67834.65,67899.86,65483.066,61903.496,81494.81,69346.766
"197_310.114_0.665",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"202_212.111_0.735",3766,3766,3766,74915.28,84439.46,78142.81,118963.195,93261.58,111602.18,113550.31,83052.18,115133.125,49416.19,124754.125,119989.984,120474.01,122311.1,120624.92,75633.41,77047.85,93480.27,78621.54,87187.48,125479.48,97556.04,110747.62,100792.195,117510,84141.586,89383.45,72558.92,51258.08,118175.57,119412.63,91130.38,77418.05,82865.664,81361.2,95007.29,85178.88
"203_211.108_0.736",3766,3766,3766,1128247.4,1113861.8,1117783.1,1156174.5,901263.25,1088489.1,1110979.9,1145327.6,1115153.1,692905.56,1208565.1,1161464.4,1183490.2,1172812.5,1150285.8,1178915.6,1166569,1237819.5,1105927.5,1205484.8,1193394.5,1263362.5,1079266.4,1273550,1135793.6,1112765,1169663.6,1145245.5,1104835.5,1133814.9,1143321.2,1162423.2,1075375.6,1089238.1,1100696.5,1204877.1,1111414.8
"204_176.057_0.735",3766,3766,3766,3766,3766,3766,3766,3766,3766,4939.341,3766,3766,3766,8051.699,10863.646,6264.8906,5057.155,5709.5396,9998.793,12673.928,7979.7754,9371.054,9600,13035.366,7589.627,9110.107,9942.838,9859.978,13492.334,11065.525,3766,3766,3766,8671.1455,30326.479,42691.18,51778.598,5248.9814,56716.895,40563.695
"205_228.134_0.737",3766,3766,3766,1279423.2,1262534.4,1266266.1,1307584.1,1025694.44,1230230.9,1272168.9,1295754.4,1271822.9,785374.94,1372169.9,1322840.1,1345567.4,1329358.1,1308536.4,1335247,1328754.8,1403819.8,1255692.5,1366556,1348039.5,1426039.5,1275064.1,1452812.1,1329019.5,1264931.2,1316542,1303072.2,1266177,1293163.5,1301016.4,1330192.5,1218916.4,1250779.4,1247760.2,1360295,1265462.5
"207_250.116_0.737",3766,3766,3766,409914.28,278731.4,289564.66,302984.47,241567.86,425694.66,315807.75,441598.72,437716.66,188851.3,513212.44,330271.84,490408.78,317106.75,458406.25,326485.16,518125.2,541399.06,467427.06,530196.4,513939.8,550775,448658.1,568940.2,468561.62,457168.2,480440.03,327331.38,448555.8,465267.34,464892.25,476755.62,299698.5,463690.72,270145.4,499550.7,471727.6
"208_167.118_0.707",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,12088.143,3766,6509.777,3766,3766,5679.2847,3766,19563.436,3766,12007.975,10512.245,11315.1,3766,17608.064,3766,3766,20729.766,3766,3766,3816.1157,17998.955,4757.1807,19833.81,9010.099,3766,11869.656,21359.97
"213_231.17_0.763",3766,3766,3766,7950.764,16241.372,3766,3766,6595.4336,25305.031,3766,6588.7007,3766,6483.5044,9610.7705,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,25999.312,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"216_188.074_0.82",3766,3766,3766,29846.307,32226.355,25357.201,32180.97,21285.566,33454.895,36087.664,35826.094,37346.777,12324.213,39249.344,38317.254,39681.582,37492.11,37997.195,38264.75,39320.96,40879.734,37091.438,39380.715,39224.574,40794.688,36383.65,44958.992,39331.32,36554.195,37215.64,41594.71,41330.67,41740.57,39222.66,33147.43,19528.363,22997.89,36266.13,27725.016,26209.42
"220_203.085_0.913",3766,3766,3766,105656.86,11754.419,80711.16,4965.8115,45630.355,155179.83,26802.04,83386.625,5291.612,10234.854,80918.695,75218.59,27081.31,3766,25123.143,161004.3,142719.67,29717.14,39525.14,92405.445,138677.56,23635.05,84787.22,37493.895,71914.164,24176.066,33149.363,30038.627,33139.797,20781.746,39640.516,31928.424,48394.684,66358.055,35745.953,68487.586,103247.31
"222_192.102_0.842",3766,3766,3766,41071.766,29996.777,41088.723,41536.293,54792.72,43089.402,115209.516,32608.68,55496.18,38216.863,134268.12,86279.01,129972.88,65218.27,67929.12,125364.08,167720.56,179702.03,107150.414,175879.31,157413.39,212606.16,180118.6,226942.19,190580.33,7733.157,3766,230114.05,242773.06,240955.22,3766,3766,3766,3766,4304.7383,3766,3766
"223_155.081_0.926",3766,3766,3766,219489.88,40305.707,178779.3,47149.68,127141.94,306467.62,166655.2,183299.39,43590.566,92245.125,204459.89,180324.64,47949.934,46833.395,114710.414,309184.6,290427.4,45750.242,149305.3,214602.34,286259.06,64000.816,181080.08,61487.19,173208.5,51754.16,63287.96,49761.26,52576.418,130888.336,85923.72,83820.85,202938.64,197125.61,188695.33,126425.98,226739.67
"224_191.09_0.861",3766,3766,3766,28190.645,19878.7,30071.922,19609.45,3766,21296.607,3766,46054.7,13049.168,3766,3766,3766,3766,6224.053,7493.889,3948.5786,3766,3766,3766,3766,19307.645,3766,3766,21179.15,3766,22035.574,14385.8955,9122.379,17025.086,11243.539,9889.316,25312.129,22410.297,50690.188,4470.9204,52127.1,52061.75
"225_152.071_0.855",3766,3766,3766,29648.56,25587.572,27810.941,29408.812,14108.57,30885.18,27739.666,32226.021,29642.904,11274.047,32450.342,29268.691,31880.957,32368.836,32153.312,31442.775,29470.783,29822.658,27098.29,29884.967,27473.629,34314.06,28266.373,33074.637,31117.918,22706.652,17437.17,19174.705,20722.729,20385.293,18467.102,17039.328,20323.344,16565.654,19018.43,12234.963,12073.0205
"226_151.123_0.859",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,8026.378,3766,3766,3766,3766,3766,8370.509,12299.964,3766,17255.205,11818.53,24309.42,22797.994,25538.67,15760.354,186920.64,358180,188655.02,190621.98,207667.39,322569.38,303751.47,458675.2,564529.56,318043.7,596463.56,567417.3
"227_190.086_0.861",3766,3766,3766,301017.88,296417.88,312261.53,275338.47,134543.25,327129.44,86801.72,457490.44,197955.3,93266.89,137682.73,143333.2,150512.75,184158.28,175045.08,186995.58,151449.73,104875.94,125198.875,129210.04,193752.38,146641.86,98608.31,203086.22,105688.97,244154.8,234765.03,155169.94,167770.58,181408.6,191768.97,294268.8,310868.94,533017.8,241266.44,577163.6,538470.8
"229_176.071_0.882",3766,3766,3766,41368.11,39705.37,36378.527,28600.82,3766,16871.049,3766,137074.6,25430.97,3766,3766,3766,3766,18447.441,14486.788,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,43774.766,3766,100484.8,44094.38
"230_216.077_0.953",3766,3766,3766,60979.35,41968.992,53901.375,14223.298,28901.47,61883.953,52182.145,54979.355,17914.701,19026.54,63551.395,48465.777,28020.947,33450.402,41699.465,69887.92,70729.36,34804.24,46942.625,63725.207,66776.61,62798.926,50645.008,39564.61,51763.945,25878.016,24300.928,30087.123,18902.83,11121.155,25514.852,37898.36,19127.934,7070.6074,32507.012,10411.401,6505.437
"232_154.086_0.877",3766,3766,3766,22568.979,16740.65,10056.208,16943.219,3766,16914.201,24988.771,12162.785,12692.178,3766,26729.959,21928.922,17299.793,15923.297,17879.678,22111.39,23345.123,32503.531,22084.025,27652.305,13347.867,23841.56,35660.867,17663.691,36673.77,13596.837,77402.54,72683.34,62335.625,74352.9,75955.03,18468.154,29403.71,77844.11,61679.316,86546.65,89118.34
"233_171.113_0.916",3766,3766,3766,1325134.2,1166732.8,1270747.9,1090940.8,969009.25,1292189.9,1332859.1,1376021,1193274.5,754678.25,1538525,1394064.8,1278894.6,1274754.1,1275576.9,1806016.8,1546445,1381298,1326903,1536711.2,1523692,1567142.9,1297498.9,1431621.9,1360903.8,1293778.9,1431861.2,1351031,1214986.5,1348765,1670720.2,1496383.2,1496904.8,1568103.8,1432633.4,1847764.9,1626899
"234_195.113_0.891",3766,3766,3766,320464.44,316955.03,329225.25,332787.34,286160.97,310248.44,328999.34,340255.28,333129.84,217433.1,368745.16,350137.16,363698.62,355161.9,348501.53,356373.22,350054.97,388767.53,338411.22,365876.4,367941.1,386575.9,310794.53,402453.2,347542.25,349519.56,413273.7,379532.72,361734.44,378077.56,409026.4,389351,403578.88,615954.94,379310.12,681517.7,655350.94
"235_158.06_0.917",3766,3766,3766,19766.074,32809.33,32021.867,17770.547,3766,18088.934,3766,71386.76,9509.868,3766,3766,3766,3766,9788.838,5231.1313,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,27433.148,3766,34005.523,15337.675
"237_228.134_0.908",3766,3766,3766,226145.05,227369.14,238578.55,237975.66,177895.19,214549.3,221666.77,236867.28,231462.55,141351.73,232941.11,239469.2,237758.4,244811.39,232818.67,229500.55,228182.1,248412.16,227284.7,252429.34,239551.05,247886.22,234062.69,265763.34,227936.98,251424.73,321942.94,260509.53,235790.69,268960.2,301298.44,303856.03,359428.53,383683.56,287591.44,423958.72,405414.34
"238_211.108_0.908",3766,3766,3766,249511.92,185399.81,184328.7,189432.55,150374.52,172692,186113.2,198271.38,183938.12,116670.6,198322.77,200082.98,202136.9,198223.67,187361.02,187472.2,192133.08,194835.73,194064.08,202146.2,196548.28,194816.23,178898.95,222049.08,186750.98,217184.97,252211.36,216934.86,193491.72,219340.7,249989.14,249906.39,293585.56,337486.75,247963.2,336430.78,333010.5
"241_250.116_0.921",3766,3766,3766,78828.46,75203.99,78423.016,84233.86,66210.97,79078.48,86806.945,82122.75,83075.29,51947.113,103047.875,98598.7,96840.86,92921.234,84620.53,94758.81,31215.154,108783.59,92388.336,105760.945,101790.11,103644.65,84372.81,119022.52,86184.86,97800.33,129631.695,100940.875,92055.984,104232.945,126927.016,104972.81,144937.73,149566.78,33315.22,175319.12,163501.7
"243_212.111_0.906",3766,3766,3766,12041.263,12114.425,10641.658,9414.147,6660.5522,8791.492,4984.5586,13544.899,10043.781,3766,9191.568,14476.1045,14262.791,14743.397,7234.074,12305.523,12136.385,17078.309,12076.259,15563.801,13244.661,14507.353,10024.133,9336.799,11741.492,18015.854,19924.805,14534.73,9398.454,10881.265,22596.805,18586.686,26157.041,29637.285,5932.0903,33778.297,28359.291
"247_201.123_0.958",3766,3766,3766,354994.7,305333.28,342522,543463.1,441473.75,410558.44,349109.8,350715.4,298687.03,214754.8,401601.1,371089.25,311001.66,311740.62,594074.2,456317.97,439548.06,345790.28,343678.38,405845.66,424783.38,401504.88,331535.9,360908.22,355765.4,655640.4,803632.25,365939,332780.5,371276.2,783549.2,792710.25,921368.44,997580.1,746597.1,1082509.8,1042075.7
