"","t2_Ec_C.mzML","t2_BS_C.mzML","t1_BS_C.mzML","t0_BS_C.mzML","t0_Ec_C.mzML","t1_Ec_C.mzML","t0_Ec_3.mzML","t0_Ec_1.mzML","t1_BS_3.mzML","t1_BS_1.mzML","t2_BS_2.mzML","t1_Ec_2.mzML","t0_Ec_2.mzML","t1_BS_2.mzML","t3_Ec_1.mzML","t1_Ec_1.mzML","t3_Ec_3.mzML","t1_Ec_3.mzML","t2_Ec_1.mzML","t2_BS_3.mzML","t2_BS_1.mzML","t3_Ec_2.mzML","t4_Ec_3.mzML","t3_Ec_C.mzML","t0_BS_2.mzML","t4_Ec_2.mzML","t3_BS_1.mzML","t4_BS_3.mzML","t4_BS_1.mzML","t2_Ec_3.mzML","t3_BS_2.mzML","t3_BS_C.mzML","t2_Ec_2.mzML","t3_BS_3.mzML","t0_BS_3.mzML","t0_BS_1.mzML","t4_Ec_C.mzML","t4_BS_C.mzML","t5_Ec_1.mzML","t6_Ec_1.mzML","t4_Ec_1.mzML","t7_BS_1.mzML","t5_Ec_2.mzML","t4_BS_2.mzML","t5_BS_C.mzML","t5_Ec_C.mzML","t5_BS_3.mzML","t5_BS_2.mzML","t5_Ec_3.mzML","t5_BS_1.mzML","t6_Ec_2.mzML","t6_BS_C.mzML","t6_BS_1.mzML","t6_Ec_C.mzML","t6_Ec_3.mzML","t7_Ec_C.mzML","t8_Ec_2.mzML","t7_Ec_3.mzML","t7_Ec_1.mzML","t7_Ec_2.mzML","t8_Ec_3.mzML","t7_BS_3.mzML","t8_Ec_C.mzML","t7_BS_2.mzML","t7_BS_C.mzML","t8_BS_2.mzML","t8_BS_3.mzML","t8_BS_1.mzML","t6_BS_2.mzML","t6_BS_3.mzML","t9_Ec_C.mzML","t9_Ec_1.mzML","t8_Ec_1.mzML","t9_Ec_3.mzML","t8_BS_C.mzML","t9_Ec_2.mzML","t9_BS_C.mzML","t9_BS_3.mzML","t9_BS_1.mzML","t9_BS_2.mzML"
"48_284.049_0.296",57190.832,30703.115,22455.541,16610.768,12647.69,45817.29,36945.285,7563.9473,127769.734,45541.156,123643.766,32706.104,16108.869,32267.916,49327.13,22612.676,144551.81,42993.395,103408.12,37703.92,87621.97,141756.58,23091.436,25958.822,42392.98,71652.2,55340.51,95007.84,55926.438,25967.656,13390.084,46366.883,41705.992,35389.574,28291.26,32851.21,28448.639,19118.533,147599.69,57326.52,34622.098,55845.8,47398.54,48949.76,137709.25,49831.234,140709.11,49614.184,152404.78,27600.936,31618.234,138757.31,56998.895,147850.75,19026.871,63017.582,66731.82,34608.043,38022.945,65763.59,51978.453,51965.527,11948.842,17848.271,25811.098,21770.316,69214.664,55174.504,57519.418,3766,68534.04,62049.727,68566.64,69222.69,59887.89,56783.336,63848.293,38388.645,69037.84,158943.36
"97_245.095_0.521",3766,3766,3766,3766,3766,3766,63810.387,105098.74,39515.625,74559.234,54846.29,63696.78,142389.19,56168.523,20048.074,23827.398,55971.418,76873,117078.42,50340.758,40212.027,34443.28,62141.04,61229.266,73117.06,98329.836,52213.004,58235.875,35272.36,92136.16,68410.98,51597.926,60493.59,68092.71,107118.5,173294.6,31539.266,67825.43,23371.764,86572.7,57881.23,26323.795,49130.547,57153.695,43263.973,31332.186,19731.477,45211.176,56877.996,15515.949,48227.555,71027.3,76708.1,73141.85,36895.926,45772.766,45498.383,48804.12,64034.043,38520.805,46890.605,26685.61,46498.23,33890.67,29759.742,32414.438,30443.559,23509.477,63450.434,73982.305,31211.477,24871.02,35276.875,35860.074,43292.93,36117.336,33443.477,34075.53,34425.598,51332.15
"105_181.097_0.521",3766,3766,3766,3766,3766,3766,49561.344,75002.09,33512.71,54433.812,42237.44,46975.82,103089.67,44507.16,16139.823,16952.715,40117.45,58887.414,83179.66,38951.93,28772.06,25807.072,47373.645,43597.742,55444.434,72381.734,37793.9,46323.043,27585.531,67149.46,50114.707,40590.188,46208.46,53135.84,81319.36,120792.055,25023.504,51684.332,17744.14,65669.13,43626.12,22198.172,39957.836,45418.645,32494.002,28384.6,16628.145,37822.133,43046.98,14069.645,33569.805,52428.34,58192.438,57192.938,30222.6,34898.31,37332.293,38381.293,49773.805,31313.932,39566.18,21808.988,36490.19,28377.783,25955.826,27175.607,26428.203,18889.508,53200.41,56386.285,27539.812,20862.38,29850.8,29398.756,35945,31549.182,29938.547,31561.912,31444.316,43916.453
"108_157.097_0.52",3766,3766,3766,3766,3766,3766,3766,10152.913,3766,6916.565,4815.979,4479.917,14823.354,4450.422,3766,3766,6967.5522,5438.5356,19153.61,4018.839,3766,3766,7097.643,6200.591,3766,19682.703,3925.4097,8915.874,3766,11528.107,7641.581,4152.35,5570.562,8625.011,4724.8047,8836.821,3766,8736.579,3766,17488.734,4663.913,6020.4536,5594.8633,7924.04,4953.36,3766,3766,6946.1694,6411.3394,3766,10073.91,12547.31,18402.957,15325.049,4354.981,13108.853,15954.139,12195.675,24851.158,8405.92,14179.171,5982.319,15465.478,8676.193,6418.0977,12894.266,10768.893,9459.946,14335.186,16845.834,8375.27,4496.8564,12493.275,9081.304,18751.504,10506.501,15275.238,14589.145,15117.904,31121.896
"113_166.103_0.533",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4795.058,7789.463,3766,11774.105
"114_160.076_0.522",3766,3766,3766,3766,3766,3766,183770.88,304328.34,210562.9,401620.97,312332.62,178118.66,412781.25,286905.66,144607.38,151759.14,280436,196100.77,476177.03,280762.88,209269.45,116820.19,355598.12,329247.16,250721.6,495482.03,296115.56,455202.53,275894.34,342406.94,593663.9,313545,343029.94,427649.62,235702.03,404429.66,247149.9,567389.25,164709.86,474401.5,245774.98,549419.3,251285.4,523318.78,354050.3,197983.47,242058.36,427234.22,257045.97,213120.95,341570,775052,845985.06,488413.75,258450.8,462201.34,507759.53,449601.6,733189.25,383483,505073.88,645107.75,490937.5,700356.9,533260.25,765449.94,666837.3,578616.5,954094.75,814353.56,314942.34,177482.83,435275.94,275424.5,865996.4,239300.45,717705.3,1050392.2,931383.94,1309049.9
"120_169.097_0.525",3766,3766,3766,4054.3687,3766,3766,540843.4,741372.4,450906.5,665166.5,609720.94,563904.4,888572.06,580351.9,453367.34,318398.78,674889.5,620459.44,849212.2,557153.4,469689.84,387611.62,716681.6,702895.6,592457.5,900353.94,586752.7,722705.4,517860.12,790937.25,706034.3,615655.2,686544.8,706535.7,689135.6,800889.44,507097.62,776639.7,450944.72,915693.6,628391.44,647277.1,654444.94,732600,637458.6,533841.94,436133.4,687120.8,720186.44,378563.44,727423.94,869086.94,861998.3,900098.7,644932.75,822500.8,908421.5,852338.94,953751.1,771301.94,917014.3,690748.8,888778.94,755674.9,746114.56,812156.3,804205.44,665943.6,893395.44,886614.5,755401.25,684815.56,826362.56,903869.4,944350.4,826194.44,891660.4,986138.44,890976.94,1347099.2
"128_318.184_0.528",3766,3766,3766,3766,3766,3766,76569.79,139332.52,46292.85,95765.99,59607.336,63646.945,195599.3,66008.99,22599.83,24406.703,60260.656,81481.336,137294.88,55041.586,39513.543,38482.867,62973.17,62674.03,97965.42,102201.516,58331.066,57982.47,34989.203,98435.42,76976.53,56712.805,67755.55,74873.24,149369.58,223605.94,29426.156,69526.8,22869.258,83234.76,53159.79,29051.9,43684.74,58181.91,41064.125,29669.941,18469.883,41644.047,53243.246,15495.768,56174.816,68529.49,76023.586,70540.53,42949.285,50802.438,44656.016,46362.133,71221.9,38619.9,42720.086,29134.365,43765.18,37928.062,35676.64,33691.547,30924.4,25433.947,67408.29,68499.69,29133.348,19969.846,34109.47,29521.16,46343.188,31170.654,30693.146,31603.72,32669.13,37701.316
"132_166.086_0.53",3766,3766,3766,5476.0425,4464.22,3766,285792.3,391348.56,287232.12,296522.6,371337.5,280959.06,352751.03,284186.4,322712.2,275048.1,285779.25,303120.84,352444.06,360704.12,389492.38,298627.62,474972.25,430331.97,289555.22,410411.84,347616.44,449591.38,297196.9,350997.56,528019.9,392505.22,281502.5,379042.6,315809.1,394232.75,344610.28,386560.84,243557.58,386360.94,308576.16,513239.78,322673.78,504981.56,290715.97,331286.5,299348.28,352745.8,622129.75,250059.12,417704.6,431465.28,381406.53,829972.4,354802.2,700751.6,328691.88,328767.72,543273.75,340746.4,331318,537559.06,349964.84,791019.8,646935.44,761886.44,1031196.06,614734.56,383453.38,536466.56,317894.03,410423.06,333462.03,459091.6,827783.3,495834.94,1217158.5,1407056.8,1163812.1,2061367.5
"134_228.121_0.534",3766,3766,3766,3766,3766,3766,3766,6958.1777,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,23281.645,3766,3766,25739.695,3766,3766,114152.516,3766,3766,3766,3766,5685.72,3766,7522.3774,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,33090.99,3766,3766,3766,3766,7126.2993,3766,4413.1353,3766,3766,3766,3766
"135_167.082_0.549",3766,3766,3766,3766,3766,3766,108962.734,68183.79,96414.84,78358.96,98367.99,106432.586,76041.71,98046.75,69146.62,113158.53,104584.12,106535.8,88190.96,97393.97,64049.72,52552.71,113869.586,108893.43,99061.41,99633.77,96275.4,103041.32,100183.39,95015.805,103243.83,103498.8,104471.09,101809.055,100402.67,84819.91,124382.29,103423.18,121048.99,108326.74,106560.25,97215.67,117108.5,98346.05,104878.21,117806.375,106105.086,110272.7,120595.6,109248.27,109904.01,106004.82,92430.43,115910.59,115312.11,106981.33,107625.4,192491.86,97605.984,111298.31,116335.39,177891.75,83799.79,102927.18,116702.695,109783.03,113578.164,104176.64,96081.266,101069.875,108005.98,113820.336,116073.05,139616.2,111382.74,120410.23,118802.875,127010.75,108515.78,173035.38
"137_176.093_0.531",3766,3766,3766,3766,3766,3766,13281.074,17884.895,12500.33,16995.629,16475.09,14651.118,21565.846,14891.554,8070.4653,7316.6396,16666.902,15668.627,24827.686,14024.732,10358.572,6651.4697,18888.494,15628.905,11205.268,24256.637,16165.344,8942.622,13238.398,20967.717,18514.387,15611.735,16295.101,8017.8896,14249.701,16624.148,12941.795,20754.479,10596.019,24311.574,15922.545,13510.308,16786.814,15473.155,15067.458,14172.133,10602.114,14500.333,15814.057,7942.071,16131.045,22409.873,24531.71,23948.775,15616.851,19709.408,21110.26,19148.332,22655.28,18037.613,21847.459,16144.081,22825.916,17231.451,15398.476,18807.854,18072.086,15595.077,22973.979,23013.49,16632.455,15052.646,18574.426,17283.936,7814.5835,17392.162,20140.395,19574.107,21349.45,27866.867
"138_235.108_0.556",3766,3766,3766,3766,3766,3766,69600.01,45398.305,68857.76,64738.87,67185.516,67533.5,47235.312,70182.05,43595.598,75312.12,66721.125,69328.27,64348.902,68000.18,69459.164,30724.904,75165.516,71100.9,56992.246,34274.004,66167.99,74191.77,72319.78,50504.51,68756.766,70654.75,67748.7,71902.836,62106.113,45249.484,82114.67,74365.61,79922.42,70336.89,67988.28,65616.1,74637.88,70623.81,72133.695,76780.25,77003.15,77916.04,89873.055,83713.99,68813.72,53991.457,68811.2,75299.445,74638.94,67846.69,70980.83,70077.81,36247.67,69175.12,81237.31,72640.59,66796.95,69137.84,76892.39,73565.48,78321.87,70074.92,50947.348,73007.99,69885.56,68788.91,71292.055,97969.61,74674.54,75565.164,76417.89,79178.766,71028.07,101051.484
"139_205.01_0.539",3766,3766,3766,3766,3766,3766,26540.87,29645.828,26884.436,31414.246,31994.63,28581.582,32466.02,28903.201,16087.632,21793.42,32612.098,30231.668,35132.266,31282.578,27975.719,13560.283,34299.605,32057.918,20299.82,37715.19,31194.527,34892.715,30231.096,34058.72,34350.438,33088.855,31431.715,34397.516,27075.27,25747.06,28545.992,36437.184,29249.477,38821.926,30773.588,30734.473,33035.277,33830.07,33505.97,29228.777,29358.912,34295.72,36717.246,27192.035,34416.27,39211.258,37614.477,39622.547,33282.418,33695.44,33883.83,33166.72,36264.24,33902.906,34743.766,31673.768,34888.754,35486.316,34516.023,35758.117,33725.535,31189.463,38692.22,41772.004,27490.084,13366.86,32968.754,32178.635,37989.89,28527.346,31927.152,34427.31,31725.729,12399.536
"146_173.071_0.548",3766,3766,3766,3766,3766,3766,34696.87,37491.71,44485.523,50503.55,48655.24,35058.418,39854.465,48274.496,18256.572,28045.16,37205.28,38762.273,43397.855,48540.535,44035.59,15312.807,39226.273,38242.33,36802.137,42606.51,49235.023,52021.12,45915.36,41021.05,59154.113,51695.207,37392.883,52963.008,44965.844,42750.406,34785.473,54761.19,34635.082,44025.535,35526.34,56410.598,37513.97,49854.242,48952.16,33865.938,43937.96,50852.66,41201.996,39616.535,43612.066,58145.883,57107.152,46179.285,42807.996,47661.277,48895.543,46155.684,47845.523,46209.113,48828.074,61309.305,51335.574,61963.402,63563.098,67513.76,64528.914,59475.312,56525.48,63844.992,50743.777,50332.53,47488.117,60323.18,70179.55,58120.33,69603.6,73199.65,69514.94,104194.55
"147_265.118_0.549",3766,3766,3766,3766,3766,3766,36047.516,38909.95,32684.512,36364.777,37436.145,35622.61,43592.375,35697.438,24377.162,27799.945,38745.832,37423.438,43572.37,35960.246,33134.277,19118.611,41149.758,39692.95,27464.316,45978.61,36894.28,40426.363,35206.04,43100.996,40033.402,37798.055,37696.33,40171.53,35314.42,35473.42,36330.945,42285.84,34766.145,46815.457,37245.36,35828.97,40035.664,39278.254,38872.203,36781.242,32958.598,41774.797,45578.45,31159.912,40128.3,46732.156,45100.03,47788.777,40045.066,42478.95,44918.258,43340.35,44970.727,40880.574,48722.32,40547.613,46904.387,41351.047,42641.406,45271.19,42824.9,38846.363,47098.586,46383.723,39950.44,39289.805,42545.965,49127.85,48268.105,45600.2,46699.38,49868.45,45535.582,71059.81
"148_189.113_0.549",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4463.528,36825.57,14713.93,19649.006,19719.355,39494.234,6015.582,3904.179,3766,3766,3766,3766,3766,3766,3766,3766,42648.203,26799.092,72315.95,3766,59063.562,3766,3766,3766,3766
"149_179.079_0.543",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,11071.411,8457.566,9423.495,3766,3766,3766,3766,3766,3766,5721.444,3766,3766,14678.995,16944.463,25053.395
"150_221.093_0.552",3766,3766,3766,3766,3766,3766,49207.348,51908.34,47208.355,51360.582,55236.36,51519.938,56287.984,50253.293,28661.645,42494.617,53551.2,53209.805,58688.11,52553.945,48846.258,22048.303,57703.832,56821.17,36447.406,59885.16,53516.95,58218.863,49444.836,58539.25,58013.594,54723.797,53746.887,56317.773,45490.04,45687.055,52152.21,60617.594,47129.305,64185,53464.75,51394.336,56073.375,56083.066,54903.133,51607.61,47599.73,57809.23,63777.426,42145.61,47317.734,61305.1,62529.027,64671.785,53657.582,55484.977,59107.246,56213.56,58108.61,54305.28,60872.97,56466.164,59633.465,57479.91,57022.016,60527.168,60236.277,46192.44,64623.867,65943.836,46403.723,51323.01,55787.734,64151.645,49182.117,58340.723,59760.016,64755.258,59277.105,97590.28
"151_181.133_0.614",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3999.7642,3766,3766,12018.03,3766,5308.427,3766,3766,3766,3766,3766,3766,3766,3766,4147.674,5545.0317,3766,5755.0806,7629.5195,3766,10469.418,3766,11078.432,12698.697,7868.003,3766,6762.706,11582.15,4968.128,7335.9297,12483.3125,4557.816,8359.445,3766,38848.023,36100.035,26542.742,32023.447,51059.594,3766,4813.111,3766,7296.8594,4658.4766,12973.112,3885.0913,12596.11,3791.7393,16741.568,32939.824,38098.918,45938.316,8465.598,41852.207,12047.469,20675.723,13334.223,14127.183
"152_157.079_0.551",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,20831.805,5346.6416,3972.3682,5928.3716,19460.79,3766,13474.402,3766,3766,3766,3766,3766,3766,3766,19324.277,31319.957,17310.203,40198,3766,37171.4,3766,3766,3766,3766
"153_252.126_0.559",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,177225.92,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"155_201.123_0.565",3766,3766,3766,3766,3766,3766,1241334.9,1187343.2,1195682.1,1175560.6,1298106.8,1247175.5,1239862.9,1191561.6,1084009.2,1204454.4,1295361,1289556.8,1277143.5,1286099.1,1269569.8,840163.4,1396534.8,1352471.5,1281849.5,1369756.5,1291443.5,1341295.2,1292844,1349799,1299682.4,1343145.4,1333212.1,1311254.2,1434758.8,1290444.1,1389531.2,1381338.9,1390732.9,1448292.8,1312561.1,1232982.5,1428290.2,1295265.2,1374716.5,1404398.8,1356285,1414273.9,1459700.5,1312641.9,1289095.8,1443493.1,1318416.9,1504409.5,1368719,1322311.5,1393400.6,1397664.5,1301357.6,1382891.1,1372670.8,1362930.5,1389400,1328025.5,1424862.4,1426069.1,1408970.5,1295535.4,1396862.6,1405849.9,1318967,1354345.5,1333908.6,1472957.5,1449371.5,1383068,1453908.8,1488333.5,1354796,2112290
"156_310.114_0.567",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,6658.9067,3766,3766,3766,16845.676,3766,3766,8242.646,25525.365,15152.839,3766,31947.14,3766,3766,3766,17497.816,3766,3766,15765.362,3766,3766,3766,19776.967,3766,10185.585,5376.1294,21740.621,47883.105,10325.629,3766,3766,25853.129,3766,3766,19426.447,3766,10646.029,3766,3766,47021.645,14236.981,78254.97,30624.926,30983.514,51775.293,48002.05,36211.605,52149.04,30360.363,55190.414,51814.73,34789.887,26160.193,28032.26,3766,3766,3766,5441.64,30838.982,13950.811,35989.305,11346.455,3766,3766,3766,6468.8687
"158_208.133_0.576",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,10553.68,7648.9985,6608.8105,7852.08,16880.77,3766,10957.325,3766,3766,3766,3766,3766,3766,3766,20754.48,27278.8,18830.244,28197.795,3766,22759.184,3766,3766,3766,3766
"161_261.123_0.591",114132.77,61869.37,65397.55,52213.457,58888.27,47641.605,62504.58,34777.54,48469.03,53181.97,58085.047,63915.086,34676.633,42908.133,39692.61,52767.453,36439.63,34381.645,54539.344,63407.895,44389.445,69736.9,56052.805,16793.197,20265.684,81898.54,60414.85,76856.98,30077.135,68811.32,56157.78,79028.98,62501.723,73628.516,45659.01,24211.043,82973.86,52693.973,40810.953,92683.96,78239.16,71231.51,63574.766,71712.81,83753.19,65767.96,50687.64,85463.75,79232.65,59003.305,18964.92,81278.86,83680.91,85969.85,62288.047,53394.812,78575.18,66937.92,60767.098,65229.56,80390.37,71521.05,77641.2,71425.8,68241.984,74908.836,76104.33,71708.2,85242.77,72518.75,89016.01,84345.75,77482.66,83077.234,48155.266,85595.164,81889.83,86934.63,83077.46,77470.125
"162_183.113_0.597",3766,3766,3766,3766,3766,3766,17056.361,26988.219,20491.758,19695.244,30891.32,30776.049,13247.289,29870.844,29090.633,10884.643,30124.277,24793.55,14985.409,21291.322,15873.591,18898.5,37212.125,25340.34,14245.239,28155.291,30008.236,12115.486,33359.355,32336.277,33812.094,28084.088,31744.84,32384.854,34377.73,27088.727,37790.77,34806.79,34996.73,33240.793,13559.886,17284.662,35909.4,13740.201,26314.379,29459.764,36643.586,20221.764,30021.488,16962.936,28812.824,27638.412,33941.32,38105.375,31942.076,28583.877,36593.04,34883.555,5413.9653,34929.07,35248.438,27963.51,29676.992,30908.37,29653.354,17951.037,19588.82,10800.168,27108.043,6813.376,35396.336,44453.52,22080.143,35270.484,13136.244,41544.633,33734.97,44775.395,17822.148,56062.504
"163_292.121_0.669",47484.695,51708.594,43217.004,3766,3766,3766,3766,3766,35630.05,3766,36228.035,33508.34,3766,20471.328,13990.157,3766,3766,23308.717,11133.521,42669.492,3766,28994.484,49869.008,10252.031,3766,22202.643,13169.995,51126.77,3766,43636.953,44156.25,40869.934,37518.344,58677.086,3766,3766,51863.363,58521.28,9320.249,16325.636,13834.127,21391.133,41884.43,47926.06,22897.477,62204.54,56109.66,48758.47,53012.883,6501.4087,3766,19555.498,23955.46,69188.38,36986.45,12875.504,46346.12,42937.26,9359.518,23940.752,55869.043,51663.49,62136.9,45515.168,43491.727,51604.33,58912.266,8183.058,43916.83,59855.168,77308.016,36437.63,16902.74,60908.67,160072.55,54555.156,47303,80647.695,24424.068,55244.18
"164_188.128_0.607",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,27584.38,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"165_206.139_0.607",3766,3766,3766,3766,34758.555,3766,16533.752,181761.08,3766,3766,6116.8926,7631.1665,3766,5611.8296,12944.435,3766,3766,14187.516,4854.3857,6953.936,9939.29,3766,3766,3766,3766,6833.3354,3766,73232.664,3766,27778.215,3766,3766,3766,3766,3766,35483.977,69534.414,3766,122457.7,34066.67,3766,190805,54262.457,3766,722111.44,6987.3477,33475.285,5454.0527,3766,64170.23,3766,81448.58,3766,4679.1943,3766,11843.925,14782.142,51630.78,3766,3766,6533.261,3766,46590.504,17526.828,16444.936,3766,3766,13945.145,237563.83,46290.08,36412.574,52839.004,3766,68066.69,25190.564,57644.77,28402.855,10645.099,3766,42638.727
"169_179.118_0.609",3766,3766,3766,3766,3766,3766,7339.7974,5137.1206,13478.307,10125.459,7877.0347,14164.537,4223.9683,8113.112,3766,9354.019,13898.901,5185.971,5395.0293,9386.046,12575.756,3766,9404.658,11100.657,3766,14260.099,19003.56,5173.5757,9581.341,5986.8716,15025.98,3766,7918.729,6527.831,8390.32,4475.3403,10036.738,10143.871,11436.317,15169.859,10489.236,3766,14450.299,17393.512,7144.8457,7171.032,13558.101,19128.26,3766,22005.46,8951.212,11549.139,19383.764,18915.107,5888.9565,32231.316,25537.617,11425.095,8160.1123,3766,13252.928,8915.659,68470.93,4559.381,13332.08,3766,11425.586,11809.263,6749.8584,8834.502,111911.555,49634.73,23032.076,37003.473,3766,21733.748,16943.758,14957.485,18692.13,23626.656
"170_152.071_0.631",3766,3766,3766,3766,3766,3766,26246.088,28019.207,25280.863,27046.174,23055.53,24180.414,27858.328,20524.035,6288.4233,23347.857,22766.373,27201.977,28350.807,24863.936,24197.99,3766,21197.72,26533.49,15689.133,27310.127,26332.234,18289.861,10524.184,29170.986,28997.203,26598.314,26242.264,27276.217,10653.574,13479.447,23638.291,26719.062,7101.061,29009.184,20545.1,41506.375,26623.072,12817.076,5621.7554,15316.217,15500.063,22031.285,27967.887,13881.676,26359.766,22551.367,19855.889,30289.13,29237.701,31705.816,40209.707,38861.95,41626.47,38841.027,42794.727,45953.74,40652.285,44641.09,46331.51,52272.68,52113.8,43875.13,23201.54,31675.36,42265.406,37793.29,38058.562,41439.277,28385.012,37263.81,61569.273,64830.586,60182.84,89263.016
"175_233.103_0.65",3766,3766,3766,3766,3766,3766,198591.31,196373.78,197328.53,191476.31,202424.36,203428.92,200498.73,197318.81,119772.016,197735.38,201667.69,213277.4,217633.58,202391.52,204392.86,90516.96,210234.95,211255.39,143910.81,212029.03,202050.36,201035.02,195091.66,216510.95,226695.05,213256.81,217092.42,204063.31,164887.88,157038.9,202882.44,209108.78,204539.34,209887.62,201617.77,176492.58,208312.67,194290.92,201398.69,200955.9,191076.47,197727.9,211299.48,181328.23,180628.1,211233.56,202475.9,228598.97,192311.27,187669.86,198810.83,183585.72,189824.11,192633.03,194749.42,194104.73,199951.86,187199.42,197863.62,201976.28,200133.36,185427.61,203217.83,225303.66,172163.08,186139.77,187596.64,193581.38,204064.5,185495.03,199775.86,209672.14,190323.78,284124.88
"178_245.128_0.686",393754.72,321342.84,253731.17,190093.88,269538.3,42611.65,90765.19,28360.434,92171.58,44763.562,89856.15,95538.25,81474.7,87385.484,119667.69,48895.17,52707.305,100824.42,47683.902,99575.38,26132.895,99209.39,129726.89,97621.69,39435.66,123605.03,60952.945,117139.66,108948.74,94151.23,99936.39,117620.71,100361.08,113650.4,51309.766,3766,132168.62,114495.23,69404.68,144678.16,126118.234,112742.85,113611.83,116637.8,131266.62,126239.484,127574.914,126996.375,123778.32,131154.17,16265.174,128821.31,134538.4,140695.4,92436.695,55222.457,141647.75,119105.94,102235.61,114865.01,141549.66,114227.984,134698.34,107578.67,106265.06,128629.17,129450.76,129342.945,127305.805,135629.19,158400.1,153309.62,139463.72,166540.2,122072.02,161792.53,144111.28,166976.52,141633.22,117008.51
"179_242.186_0.663",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,8466.681,3766,3766,3766,10552.715,24290.08,3766,26556.201,7753.7827,29650.096,26093.771,14841.105,20621.234,56053.523
"180_189.102_0.677",3766,3766,3766,3766,3766,3766,9010.9375,4108.192,3766,3766,3766,6305.613,3766,3766,3766,6906.6523,13893.338,4182.0796,9248.977,3766,3766,3766,15850.514,7930.598,3766,12991.076,3766,3817.2185,3766,14682.101,3766,6395.7847,5458.6704,3766,3766,3766,13795.793,3766,9654.302,6502.0024,12289.972,8950.78,10134.954,3766,3766,11599.331,3766,6286.387,26321.318,3766,10922.626,3766,3766,23483.406,4108.3555,43172.777,68653.08,23518.102,27525.502,33147.75,68666.164,4464.2646,61854.7,9657.612,7123.719,20005.158,15768.999,3766,3766,3766,62053.785,88839.06,64912.566,104249.92,19611.955,90540.53,29536.504,34449.715,27418.11,60450.87
