"","t2_Ec_C.mzML","t2_BS_C.mzML","t1_BS_C.mzML","t0_BS_C.mzML","t0_Ec_C.mzML","t1_Ec_C.mzML","t0_Ec_3.mzML","t0_Ec_1.mzML","t1_BS_3.mzML","t1_BS_1.mzML","t2_BS_2.mzML","t1_Ec_2.mzML","t0_Ec_2.mzML","t1_BS_2.mzML","t3_Ec_1.mzML","t1_Ec_1.mzML","t3_Ec_3.mzML","t1_Ec_3.mzML","t2_Ec_1.mzML","t2_BS_3.mzML","t2_BS_1.mzML","t3_Ec_2.mzML","t4_Ec_3.mzML","t3_Ec_C.mzML","t0_BS_2.mzML","t4_Ec_2.mzML","t3_BS_1.mzML","t4_BS_3.mzML","t4_BS_1.mzML","t2_Ec_3.mzML","t3_BS_2.mzML","t3_BS_C.mzML","t2_Ec_2.mzML","t3_BS_3.mzML","t0_BS_3.mzML","t0_BS_1.mzML","t4_Ec_C.mzML","t4_BS_C.mzML","t5_Ec_1.mzML","t6_Ec_1.mzML","t4_Ec_1.mzML","t7_BS_1.mzML","t5_Ec_2.mzML","t4_BS_2.mzML","t5_BS_C.mzML","t5_Ec_C.mzML","t5_BS_3.mzML","t5_BS_2.mzML","t5_Ec_3.mzML","t5_BS_1.mzML","t6_Ec_2.mzML","t6_BS_C.mzML","t6_BS_1.mzML","t6_Ec_C.mzML","t6_Ec_3.mzML","t7_Ec_C.mzML","t8_Ec_2.mzML","t7_Ec_3.mzML","t7_Ec_1.mzML","t7_Ec_2.mzML","t8_Ec_3.mzML","t7_BS_3.mzML","t8_Ec_C.mzML","t7_BS_2.mzML","t7_BS_C.mzML","t8_BS_2.mzML","t8_BS_3.mzML","t8_BS_1.mzML","t6_BS_2.mzML","t6_BS_3.mzML","t9_Ec_C.mzML","t9_Ec_1.mzML","t8_Ec_1.mzML","t9_Ec_3.mzML","t8_BS_C.mzML","t9_Ec_2.mzML","t9_BS_C.mzML","t9_BS_3.mzML","t9_BS_1.mzML","t9_BS_2.mzML"
"430_233.128_1.52",3766,3766,3766,3766,3766,3766,20395.938,21442.947,17315.326,6136.3394,7231.099,15460.515,7300.9194,15972.659,3766,32841.797,3766,11093.896,12837.131,3766,3766,4964.6836,25719.406,8888.22,3950.58,21188.729,6870.2896,3766,4490.1772,23046.709,6402.747,5039.476,11404.895,3766,9003.9375,3766,36836.383,30255.236,7450.7285,5590.426,10689.849,20295.816,14725.911,15000.634,23003.344,18682.473,39431.594,10825.593,24331.207,20014.924,6181.9233,18093.004,6425.9766,7982.8984,12571.186,9748.243,10135.669,3766,3766,22582.822,12999.376,8358.992,6647.4604,17793.281,21261.828,4124.382,41577.4,5314.6855,19333.512,25883.148,13650.271,3766,18248.998,34049.797,10696.71,14093.794,3766,27473.781,32769.15,44912.535
"431_322.107_1.498",3766,3766,3766,3766,3766,3766,4027.7666,6371.59,7724.1577,11895.935,3766,14926.5625,3766,10082.781,4706.321,17960.95,15110.729,5635.0317,3766,4914.503,12606.862,3766,11385.201,5507.4917,9118.752,9822.491,17602.723,3766,5801.3384,3804.0269,6501.404,3766,7602.0405,9086.839,5965.606,3766,3766,3766,3766,10390.218,7009.3047,4128.0693,8763.4795,6725.95,3849.0073,3766,7966.087,5095.591,6663.5894,25666.283,5737.6343,3766,3766,3766,5513.8203,12973.071,35620.406,21195.639,19170.996,6373.9585,55737.805,3883.7249,24663.375,9011.917,3766,7775.3643,4539.286,3766,6497.019,9921.839,27983.293,34064.57,41528.426,41056.105,3969.9038,18063.004,12816.559,5138.6504,6715.5166,3766
"432_294.137_1.445",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,8092.3696,3766,3766,3766,3766,3766,17812.842,6279.4565,3766,17379.826,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4851.383,3766,12364.254,18457.752,7719.757,3766,26593.322,3766,3766,23618.059,3766,3766,29210.064,3766,28216.78,3766,3766,35195.61,28366.332,37115.695,64554.656,81223.375,244901.92,281153.56,73238.76,3766,39389.277,3766,3766,3766,3766,3766,3766,3766,3766,31070.3,137422.62,31279.86,3766,27830.139,3766,3766,3766,3766
"433_264.131_1.454",3766,3766,3766,3766,3766,3766,12856.46,39416.35,40054.44,33655.055,52102.805,44591.496,37861.06,53521.656,11196.742,21868.68,42737.582,38849.36,59627.24,49999.453,34685.027,14187.4375,64424.02,44504.848,15028.382,93622.67,40904.418,46780.8,44261.184,57439.676,53156.188,62419.168,40755.85,14451.378,31849.518,51409.43,22013.498,58921.77,55874.234,96771.18,66475.01,44209.25,85517.766,75076.555,47048,32742.307,68102.38,69362.05,67202.82,65404.754,57210.64,76984.15,72113.52,93510.086,72442.38,56433.71,53785.41,45982.758,55446.387,55081.83,70463.375,47730.91,66645.31,53287.598,13244.108,67246.445,63517.543,52524.3,71683.805,73568.62,74812.8,99120.91,64339.926,35728.99,66921.984,79977.2,78661.46,85502.555,67050.85,118498.56
"435_257.104_1.523",3766,3766,3766,3766,3766,3766,3766,5047.7124,18073.91,3766,10466.927,10369.372,13787.609,11724.143,10846.667,3766,3766,21394.785,3766,15638.523,3766,4337.3003,3766,8309.829,7598.6753,10978.509,5159.7266,14951.01,9962.498,8759.213,9527.938,7544.9385,13746.997,9425.719,7783.7676,4818.4116,22026.33,12550.412,27122.168,15296.928,5822.052,7915.371,11579.106,4768.192,10152.248,4969.1973,19142.287,13632.788,10042.711,12040.3,3766,8523.674,6913.2637,22376.93,5752.3027,7719.468,8243.729,3766,5439.932,7536.6753,5487.4775,22054.176,6801.7617,5931.463,20231.72,26963.576,7686.3447,9808.484,14617.604,8997.846,3766,10886,15472.586,13009.956,5924.3066,6814.595,10858.585,21628.06,6553.7944,12855.3
"437_334.213_1.507",3766,3766,3766,3766,3766,3766,100269.484,58662.72,52522.676,42968.246,39968.027,35267.363,40817.758,23226.006,14246.656,36735.13,50258.324,123901.47,77991.06,26035.154,10572.082,55606.562,65657.95,59553.984,19525.352,51691.94,19335.947,19521.633,11216.803,8698.447,20213.13,29044.559,75979.3,16098.145,27163.525,162598.19,24152.785,17604.514,12015.867,53712.74,22277.639,12563.811,27396.799,13623.4,6191.6353,34538.953,14771.368,27139.139,20365.252,24817.936,35157.375,3766,20594.676,52624.09,62811.656,39994.508,8336.683,52357.285,14157.963,21052.36,9469.139,29330.023,44223.785,41622.75,36355.234,17847.76,17447.945,17898.787,4069.9402,3766,24140.615,7272.82,9416.886,17110.506,20597.502,19581.31,61133.023,3766,16871.91,17054.582
"438_565.177_1.532",3766,3766,3766,3766,3766,3766,39562.055,7960.3843,43953.453,50854.277,38514.812,76917.06,11034.253,28205.254,21254.658,61159.785,61733.203,52891.445,39223.89,13463.77,42475.06,12375.84,24643.035,18644.338,50837.47,35417.36,41584.1,7359.24,19922.521,40039.875,16606.178,15432.986,52936.7,11204.359,14298.953,56406.49,16243.484,27970.584,35593.47,15846.115,16454.883,16004.235,34708.906,4629.9434,68340.8,19736.275,48664.29,17120.31,24549.445,37876.324,19092.45,15881.74,30755.691,46310.816,11284.841,11309.733,23349.021,7145.087,28450.816,28831.129,15375.981,10864.044,36152.88,19457.885,27205.215,33771.09,23718.648,19004.629,25832.324,20092.445,30636.805,42923.605,20030.516,30918.568,21389.846,35776.348,25499.758,31054.25,10412.678,6574.86
"440_457.245_1.546",3766,3766,3766,3766,3766,3766,12159.654,16361.407,7172.4375,13644.707,13156.5,12136.979,3766,26686.037,7068.7417,24403.016,9092.133,16587.695,11101.678,4764.2725,11426.769,4859.091,15858.784,9830.324,18635.979,3766,5884.246,22527.371,3766,7576.3164,8573.433,20370.87,5670.044,8676.325,15578.938,3766,7218.886,12090.809,12439.785,18892.094,9496.537,8272.591,8528.352,22076.719,13594.059,18737.934,21521.332,20237.39,17165.404,9392.342,15549.609,3766,5576.85,17300.973,10408.564,12240.698,23396.322,9615.201,7052.56,16306.5205,4175.879,25540.379,16403.684,7202.7676,12805.216,19697.295,15285.286,15371.0205,8100.1016,14872.285,26289.895,13704.812,3824.7546,38159.21,15155.647,17863.701,15315.639,6139.3525,7986.4624,12418.634
"443_179.557_1.466",3766,3766,3766,3766,3766,3766,90261.69,63888.29,43919.73,85245.34,114720.234,98283.4,95728.875,73905.27,87427.31,51953.1,123214.21,31549.559,87966.414,87365.79,31679.941,58839.91,91575.22,100345.7,74682.37,90439.34,108114.96,102484.7,84567.81,80235.83,128681.555,116146.66,83181.266,95362.14,82253.305,86451.98,33439.55,105636.484,46473.15,108569.18,78138.02,101658.84,103232.16,131986.25,169396.23,88844.81,37380.188,86647.19,82127.98,118917.49,93135.125,105682,88522.34,111500.016,90831.42,112372.1,116916.016,82677.234,75853.19,99489.375,93841.16,102294.99,121704.664,105554.27,98791.766,109070.42,131768.05,97505.48,115815.87,99233.2,106818.03,101157.3,132002.08,99705.98,106948.24,90458.92,94428.27,133084.17,104772.63,197402.89
"444_280.096_1.479",3766,3766,3766,3766,3766,3766,6000.0938,13388.686,20589.47,26422.803,51554.58,34745.19,26048.754,47642.01,15058.478,17563.678,29593.076,37135.69,51824.14,19991.535,17632.781,20342.055,54615.223,9219.955,13763.153,56900.75,25790.4,22521.63,33608.844,47099.246,33931.93,55104.348,43448.414,36055.426,29589.27,23415.176,5333.8203,43668.977,25001.543,44487.375,58630.863,27054.111,46706.34,30790.541,42671.316,26881.348,46662.6,45778.133,45902.6,6555.272,35958.805,42531.453,30977.314,71437.18,46315.67,22885.695,5039.406,38671.83,42757.098,37022.117,39400.64,14641.41,55099.297,18789.543,7173.3125,39670.137,74498.99,36882.145,26796.898,47052.008,19499.682,37969.46,29561.377,38300.625,10034.553,52847.94,33037.883,39695.78,30080.75,13683.632
