"","t2_BS_C.mzML","t1_BS_C.mzML","t0_BS_C.mzML","t1_BS_3.mzML","t1_BS_1.mzML","t2_BS_2.mzML","t1_BS_2.mzML","t2_BS_3.mzML","t2_BS_1.mzML","t0_BS_2.mzML","t3_BS_1.mzML","t4_BS_3.mzML","t4_BS_1.mzML","t3_BS_2.mzML","t3_BS_C.mzML","t3_BS_3.mzML","t0_BS_3.mzML","t0_BS_1.mzML","t4_BS_C.mzML","t7_BS_1.mzML","t4_BS_2.mzML","t5_BS_C.mzML","t5_BS_3.mzML","t5_BS_2.mzML","t5_BS_1.mzML","t6_BS_C.mzML","t6_BS_1.mzML","t7_BS_3.mzML","t7_BS_2.mzML","t7_BS_C.mzML","t8_BS_2.mzML","t8_BS_3.mzML","t8_BS_1.mzML","t6_BS_2.mzML","t6_BS_3.mzML","t8_BS_C.mzML","t9_BS_C.mzML","t9_BS_3.mzML","t9_BS_1.mzML","t9_BS_2.mzML"
"809_153.102_1.762",3766,3766,3766,27453.838,26611.46,30296.324,28914.918,31294.617,28912.51,26453.16,28665.588,29999.426,27483.629,34080.9,31109.117,28746.451,27269.963,23039.533,32687.807,37935.297,32304.633,28614.172,28799.135,31909.908,29230.012,33933.28,34128.277,44336.5,39482.133,36582.156,41928.207,44439.266,43695.617,30192.248,40381.566,45384.883,55553.516,53402.188,47035.824,73707.61
"810_253.191_1.759",3766,3766,3766,19838.031,22784.91,9256.581,24163.54,24513.006,21864.104,10365.864,24350.2,26449.695,25241.799,28488.295,22048.535,25151.125,17299.605,13967.261,28486.799,90894.17,23658.82,29352.193,29427.6,18737.99,16667.451,32970.305,31907.441,93463.75,89009.44,111441.664,113947.44,113700.18,109868.44,29275.059,36047.324,119161.93,131420.25,127864.555,131593.88,156389.55
"811_384.536_1.782",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,7304.7217,3766,3766,3766,3766,3766,3766,3766,3766,4961.6904,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"813_359.196_1.767",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,5645.294,3766,3766,3766,3766,3766,3766,3766,7488.199,5860.1064,10488.807,14705.58,12341.956,12730.54,3766,3766,22722.312,28088.197,31562.752,30831.21,52637.867
"814_180.121_1.765",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4132.8223,3766,6288.965,9879.086,15453.287,4447.44,3766,3766,6516.5513,22718.846,24053.785,23135.797,35557.145
"815_576.301_1.771",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,7148.7905,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"817_247.144_1.789",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4106.2764,4530.1523,7734.6885,3766,3766,3766,10354.723,15531.009,10723.967,11387.274,37019.766
"819_180.083_1.766",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,5416.966,3789.581,5304.184,6112.3,3766,3766,7462.1484,19157.92,5280.167,22031.836,19809.408
"822_243.134_1.782",3766,3766,3766,104512.75,97333.305,102493.586,68745.98,70003.555,109969.83,84115.63,94117.875,87554.86,87637.68,99769.16,56654.996,65315.047,131766,126540.805,51486.17,14885.648,89347.05,49402.484,71328.234,89169.32,82581.016,77313.22,123765.77,10261.497,25481.738,9281.744,10436.568,18224.564,10739.535,82294.08,114564.766,8261.408,12581.012,6894.264,18974.572,20802.572
"823_230.104_1.843",3766,3766,3766,350440.34,174215.86,219017.9,174604.66,229003.62,298137.53,299118.5,188392.05,232069.06,242349.72,181772.31,300371.75,220385.6,217139.17,187196.38,207827.72,174266.45,229697.72,217426.12,432081.84,398997.1,486259.3,191395.5,181270.95,190213.33,192098.08,262393.62,216270.89,226244.83,237405.45,188656.31,200841.58,241913,325909.44,331258.88,290644.75,439036
