"","t2_BS_C.mzML","t1_BS_C.mzML","t0_BS_C.mzML","t1_BS_3.mzML","t1_BS_1.mzML","t2_BS_2.mzML","t1_BS_2.mzML","t2_BS_3.mzML","t2_BS_1.mzML","t0_BS_2.mzML","t3_BS_1.mzML","t4_BS_3.mzML","t4_BS_1.mzML","t3_BS_2.mzML","t3_BS_C.mzML","t3_BS_3.mzML","t0_BS_3.mzML","t0_BS_1.mzML","t4_BS_C.mzML","t7_BS_1.mzML","t4_BS_2.mzML","t5_BS_C.mzML","t5_BS_3.mzML","t5_BS_2.mzML","t5_BS_1.mzML","t6_BS_C.mzML","t6_BS_1.mzML","t7_BS_3.mzML","t7_BS_2.mzML","t7_BS_C.mzML","t8_BS_2.mzML","t8_BS_3.mzML","t8_BS_1.mzML","t6_BS_2.mzML","t6_BS_3.mzML","t8_BS_C.mzML","t9_BS_C.mzML","t9_BS_3.mzML","t9_BS_1.mzML","t9_BS_2.mzML"
"48_284.049_0.296",30703.115,22455.541,16610.768,127769.734,45541.156,123643.766,32267.916,37703.92,87621.97,42392.98,55340.51,95007.84,55926.438,13390.084,46366.883,35389.574,28291.26,32851.21,19118.533,55845.8,48949.76,137709.25,140709.11,49614.184,27600.936,138757.31,56998.895,51965.527,17848.271,25811.098,21770.316,69214.664,55174.504,57519.418,3766,59887.89,63848.293,38388.645,69037.84,158943.36
"97_245.095_0.521",3766,3766,3766,39515.625,74559.234,54846.29,56168.523,50340.758,40212.027,73117.06,52213.004,58235.875,35272.36,68410.98,51597.926,68092.71,107118.5,173294.6,67825.43,26323.795,57153.695,43263.973,19731.477,45211.176,15515.949,71027.3,76708.1,26685.61,33890.67,29759.742,32414.438,30443.559,23509.477,63450.434,73982.305,43292.93,33443.477,34075.53,34425.598,51332.15
"105_181.097_0.521",3766,3766,3766,33512.71,54433.812,42237.44,44507.16,38951.93,28772.06,55444.434,37793.9,46323.043,27585.531,50114.707,40590.188,53135.84,81319.36,120792.055,51684.332,22198.172,45418.645,32494.002,16628.145,37822.133,14069.645,52428.34,58192.438,21808.988,28377.783,25955.826,27175.607,26428.203,18889.508,53200.41,56386.285,35945,29938.547,31561.912,31444.316,43916.453
"108_157.097_0.52",3766,3766,3766,3766,6916.565,4815.979,4450.422,4018.839,3766,3766,3925.4097,8915.874,3766,7641.581,4152.35,8625.011,4724.8047,8836.821,8736.579,6020.4536,7924.04,4953.36,3766,6946.1694,3766,12547.31,18402.957,5982.319,8676.193,6418.0977,12894.266,10768.893,9459.946,14335.186,16845.834,18751.504,15275.238,14589.145,15117.904,31121.896
"113_166.103_0.533",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4795.058,7789.463,3766,11774.105
"114_160.076_0.522",3766,3766,3766,210562.9,401620.97,312332.62,286905.66,280762.88,209269.45,250721.6,296115.56,455202.53,275894.34,593663.9,313545,427649.62,235702.03,404429.66,567389.25,549419.3,523318.78,354050.3,242058.36,427234.22,213120.95,775052,845985.06,645107.75,700356.9,533260.25,765449.94,666837.3,578616.5,954094.75,814353.56,865996.4,717705.3,1050392.2,931383.94,1309049.9
"120_169.097_0.525",3766,3766,4054.3687,450906.5,665166.5,609720.94,580351.9,557153.4,469689.84,592457.5,586752.7,722705.4,517860.12,706034.3,615655.2,706535.7,689135.6,800889.44,776639.7,647277.1,732600,637458.6,436133.4,687120.8,378563.44,869086.94,861998.3,690748.8,755674.9,746114.56,812156.3,804205.44,665943.6,893395.44,886614.5,944350.4,891660.4,986138.44,890976.94,1347099.2
"128_318.184_0.528",3766,3766,3766,46292.85,95765.99,59607.336,66008.99,55041.586,39513.543,97965.42,58331.066,57982.47,34989.203,76976.53,56712.805,74873.24,149369.58,223605.94,69526.8,29051.9,58181.91,41064.125,18469.883,41644.047,15495.768,68529.49,76023.586,29134.365,37928.062,35676.64,33691.547,30924.4,25433.947,67408.29,68499.69,46343.188,30693.146,31603.72,32669.13,37701.316
"132_166.086_0.53",3766,3766,5476.0425,287232.12,296522.6,371337.5,284186.4,360704.12,389492.38,289555.22,347616.44,449591.38,297196.9,528019.9,392505.22,379042.6,315809.1,394232.75,386560.84,513239.78,504981.56,290715.97,299348.28,352745.8,250059.12,431465.28,381406.53,537559.06,791019.8,646935.44,761886.44,1031196.06,614734.56,383453.38,536466.56,827783.3,1217158.5,1407056.8,1163812.1,2061367.5
"134_228.121_0.534",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,25739.695,3766,114152.516,3766,3766,5685.72,7522.3774,3766,3766,3766,3766,3766,3766,3766,33090.99,3766,3766,3766,3766,3766,3766
"135_167.082_0.549",3766,3766,3766,96414.84,78358.96,98367.99,98046.75,97393.97,64049.72,99061.41,96275.4,103041.32,100183.39,103243.83,103498.8,101809.055,100402.67,84819.91,103423.18,97215.67,98346.05,104878.21,106105.086,110272.7,109248.27,106004.82,92430.43,177891.75,102927.18,116702.695,109783.03,113578.164,104176.64,96081.266,101069.875,111382.74,118802.875,127010.75,108515.78,173035.38
"137_176.093_0.531",3766,3766,3766,12500.33,16995.629,16475.09,14891.554,14024.732,10358.572,11205.268,16165.344,8942.622,13238.398,18514.387,15611.735,8017.8896,14249.701,16624.148,20754.479,13510.308,15473.155,15067.458,10602.114,14500.333,7942.071,22409.873,24531.71,16144.081,17231.451,15398.476,18807.854,18072.086,15595.077,22973.979,23013.49,7814.5835,20140.395,19574.107,21349.45,27866.867
"138_235.108_0.556",3766,3766,3766,68857.76,64738.87,67185.516,70182.05,68000.18,69459.164,56992.246,66167.99,74191.77,72319.78,68756.766,70654.75,71902.836,62106.113,45249.484,74365.61,65616.1,70623.81,72133.695,77003.15,77916.04,83713.99,53991.457,68811.2,72640.59,69137.84,76892.39,73565.48,78321.87,70074.92,50947.348,73007.99,74674.54,76417.89,79178.766,71028.07,101051.484
"139_205.01_0.539",3766,3766,3766,26884.436,31414.246,31994.63,28903.201,31282.578,27975.719,20299.82,31194.527,34892.715,30231.096,34350.438,33088.855,34397.516,27075.27,25747.06,36437.184,30734.473,33830.07,33505.97,29358.912,34295.72,27192.035,39211.258,37614.477,31673.768,35486.316,34516.023,35758.117,33725.535,31189.463,38692.22,41772.004,37989.89,31927.152,34427.31,31725.729,12399.536
"146_173.071_0.548",3766,3766,3766,44485.523,50503.55,48655.24,48274.496,48540.535,44035.59,36802.137,49235.023,52021.12,45915.36,59154.113,51695.207,52963.008,44965.844,42750.406,54761.19,56410.598,49854.242,48952.16,43937.96,50852.66,39616.535,58145.883,57107.152,61309.305,61963.402,63563.098,67513.76,64528.914,59475.312,56525.48,63844.992,70179.55,69603.6,73199.65,69514.94,104194.55
"147_265.118_0.549",3766,3766,3766,32684.512,36364.777,37436.145,35697.438,35960.246,33134.277,27464.316,36894.28,40426.363,35206.04,40033.402,37798.055,40171.53,35314.42,35473.42,42285.84,35828.97,39278.254,38872.203,32958.598,41774.797,31159.912,46732.156,45100.03,40547.613,41351.047,42641.406,45271.19,42824.9,38846.363,47098.586,46383.723,48268.105,46699.38,49868.45,45535.582,71059.81
"148_189.113_0.549",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,6015.582,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"149_179.079_0.543",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,11071.411,8457.566,9423.495,3766,3766,5721.444,3766,14678.995,16944.463,25053.395
"150_221.093_0.552",3766,3766,3766,47208.355,51360.582,55236.36,50253.293,52553.945,48846.258,36447.406,53516.95,58218.863,49444.836,58013.594,54723.797,56317.773,45490.04,45687.055,60617.594,51394.336,56083.066,54903.133,47599.73,57809.23,42145.61,61305.1,62529.027,56466.164,57479.91,57022.016,60527.168,60236.277,46192.44,64623.867,65943.836,49182.117,59760.016,64755.258,59277.105,97590.28
"151_181.133_0.614",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,5308.427,3766,3766,3766,3766,3766,3766,5545.0317,3766,3766,11078.432,7868.003,3766,11582.15,7335.9297,12483.3125,3766,3766,7296.8594,4658.4766,12973.112,3885.0913,12596.11,3791.7393,8465.598,12047.469,20675.723,13334.223,14127.183
"152_157.079_0.551",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"155_201.123_0.565",3766,3766,3766,1195682.1,1175560.6,1298106.8,1191561.6,1286099.1,1269569.8,1281849.5,1291443.5,1341295.2,1292844,1299682.4,1343145.4,1311254.2,1434758.8,1290444.1,1381338.9,1232982.5,1295265.2,1374716.5,1356285,1414273.9,1312641.9,1443493.1,1318416.9,1362930.5,1328025.5,1424862.4,1426069.1,1408970.5,1295535.4,1396862.6,1405849.9,1449371.5,1453908.8,1488333.5,1354796,2112290
"156_310.114_0.567",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,47883.105,3766,3766,3766,3766,3766,3766,3766,52149.04,55190.414,51814.73,34789.887,26160.193,28032.26,3766,3766,35989.305,3766,3766,3766,6468.8687
"161_261.123_0.591",61869.37,65397.55,52213.457,48469.03,53181.97,58085.047,42908.133,63407.895,44389.445,20265.684,60414.85,76856.98,30077.135,56157.78,79028.98,73628.516,45659.01,24211.043,52693.973,71231.51,71712.81,83753.19,50687.64,85463.75,59003.305,81278.86,83680.91,71521.05,71425.8,68241.984,74908.836,76104.33,71708.2,85242.77,72518.75,48155.266,81889.83,86934.63,83077.46,77470.125
"162_183.113_0.597",3766,3766,3766,20491.758,19695.244,30891.32,29870.844,21291.322,15873.591,14245.239,30008.236,12115.486,33359.355,33812.094,28084.088,32384.854,34377.73,27088.727,34806.79,17284.662,13740.201,26314.379,36643.586,20221.764,16962.936,27638.412,33941.32,27963.51,30908.37,29653.354,17951.037,19588.82,10800.168,27108.043,6813.376,13136.244,33734.97,44775.395,17822.148,56062.504
"163_292.121_0.669",51708.594,43217.004,3766,35630.05,3766,36228.035,20471.328,42669.492,3766,3766,13169.995,51126.77,3766,44156.25,40869.934,58677.086,3766,3766,58521.28,21391.133,47926.06,22897.477,56109.66,48758.47,6501.4087,19555.498,23955.46,51663.49,45515.168,43491.727,51604.33,58912.266,8183.058,43916.83,59855.168,160072.55,47303,80647.695,24424.068,55244.18
"164_188.128_0.607",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,27584.38,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"165_206.139_0.607",3766,3766,3766,3766,3766,6116.8926,5611.8296,6953.936,9939.29,3766,3766,73232.664,3766,3766,3766,3766,3766,35483.977,3766,190805,3766,722111.44,33475.285,5454.0527,64170.23,81448.58,3766,3766,17526.828,16444.936,3766,3766,13945.145,237563.83,46290.08,25190.564,28402.855,10645.099,3766,42638.727
"169_179.118_0.609",3766,3766,3766,13478.307,10125.459,7877.0347,8113.112,9386.046,12575.756,3766,19003.56,5173.5757,9581.341,15025.98,3766,6527.831,8390.32,4475.3403,10143.871,3766,17393.512,7144.8457,13558.101,19128.26,22005.46,11549.139,19383.764,8915.659,4559.381,13332.08,3766,11425.586,11809.263,6749.8584,8834.502,3766,16943.758,14957.485,18692.13,23626.656
"170_152.071_0.631",3766,3766,3766,25280.863,27046.174,23055.53,20524.035,24863.936,24197.99,15689.133,26332.234,18289.861,10524.184,28997.203,26598.314,27276.217,10653.574,13479.447,26719.062,41506.375,12817.076,5621.7554,15500.063,22031.285,13881.676,22551.367,19855.889,45953.74,44641.09,46331.51,52272.68,52113.8,43875.13,23201.54,31675.36,28385.012,61569.273,64830.586,60182.84,89263.016
"175_233.103_0.65",3766,3766,3766,197328.53,191476.31,202424.36,197318.81,202391.52,204392.86,143910.81,202050.36,201035.02,195091.66,226695.05,213256.81,204063.31,164887.88,157038.9,209108.78,176492.58,194290.92,201398.69,191076.47,197727.9,181328.23,211233.56,202475.9,194104.73,187199.42,197863.62,201976.28,200133.36,185427.61,203217.83,225303.66,204064.5,199775.86,209672.14,190323.78,284124.88
"178_245.128_0.686",321342.84,253731.17,190093.88,92171.58,44763.562,89856.15,87385.484,99575.38,26132.895,39435.66,60952.945,117139.66,108948.74,99936.39,117620.71,113650.4,51309.766,3766,114495.23,112742.85,116637.8,131266.62,127574.914,126996.375,131154.17,128821.31,134538.4,114227.984,107578.67,106265.06,128629.17,129450.76,129342.945,127305.805,135629.19,122072.02,144111.28,166976.52,141633.22,117008.51
"179_242.186_0.663",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,8466.681,3766,3766,3766,7753.7827,26093.771,14841.105,20621.234,56053.523
"180_189.102_0.677",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3817.2185,3766,3766,6395.7847,3766,3766,3766,3766,8950.78,3766,3766,3766,6286.387,3766,3766,3766,4464.2646,9657.612,7123.719,20005.158,15768.999,3766,3766,3766,19611.955,29536.504,34449.715,27418.11,60450.87
"181_167.082_0.663",3766,3766,3766,150394.17,78745.29,165592.11,156756.11,116138.484,93694.484,150703.45,117102.96,126609.945,110964.83,129363.29,124616.18,172662.9,114755.25,148560.95,179661.34,112882.94,164955.36,126638.99,112415.92,174860.58,102081.33,190450.1,176872.67,126577.08,125674.03,131270.5,138479.28,109616.63,124600.664,184255.16,194199.62,146188.7,153440.44,167328.03,198417.47,312791.62
"183_155.081_0.692",3766,3766,3766,15984.016,11723.704,25027.457,25670.803,24805.357,24076.373,24387.963,9741.864,25577.691,27000.426,20479.818,27616.908,16113.962,23109.27,12216.943,13355.348,21824.01,24744.002,26370.492,24002.1,14707.289,21200.88,24229.312,12401.952,29563.121,26432.229,31820.629,31813.328,18668.375,32193.201,8131.4033,23499.246,31548.75,40029.176,28601.246,35148.344,59433.734
"185_235.108_0.679",3766,3766,3766,121088.055,128103.77,132526.42,125770.72,130601.57,128557.89,99420.69,132841.44,91681.07,129574.336,95843.93,137223.1,139754.69,116748.19,66632.64,146216.98,82235.21,135954.52,139269.78,90333.06,141520.2,126114.56,103436.68,88824.44,140590.78,99487.18,102584.14,109484.47,105059.72,99156.7,102345.61,104719.17,111287.45,109836.33,164807.16,148480.02,157517.69
"188_292.121_0.685",171629.44,51424.047,3766,45108.715,3766,47295.605,13323.485,32106.822,3766,3766,17304.002,64750.82,3859.8364,59494.586,190522.36,54658.656,3766,3766,159490.39,17533.408,61435.508,22202.121,53968.47,62830.973,17981.996,184460.56,22641.691,68796.4,60149.656,137843.19,67688.65,73322.586,22551.188,72073.8,76022.445,9514.677,165913.95,106202.266,18591.578,73784.83
"190_251.15_0.691",3766,3766,3766,423521.47,439734.1,483536.2,443111.47,467781.47,468052.28,435446.03,480366.84,538734.4,503883.97,505367.1,545666.56,506429.78,512400.53,474308.12,578362.6,711621.7,520683.12,561960.9,500449.2,565319.9,505715.16,538763.94,459323.84,796126.1,773417.7,886032.3,912613.06,933877.75,811881.25,485940.66,435043.97,986333.94,1177153.5,1199002.1,1063726,1671759.1
"191_162.066_0.695",3766,3766,3766,147994.1,142535.52,152970.95,147035.17,155969.94,151986.73,128239.06,148271.28,157711.22,150835.11,185914.94,162569.02,158984.58,127527.58,111541.87,161354.61,161569.75,145647.06,154875.88,154733.33,158609.47,143637.94,168552.94,162607.03,182806.2,173849.95,174336.44,188397.28,180803.33,172517.58,163824.95,192555.19,183694.66,177284.8,203890.8,178563.33,294376.12
"192_215.139_0.698",3766,3766,3766,617917.4,605144.5,662398.4,616663.4,650449.94,653222.44,755949.3,655195.94,686421.8,658573.7,663575,685759.56,660819.7,806175.06,724303.1,706746.3,618835.56,663883.44,699948.56,691263.75,713554,675793.9,738938.9,671340.94,691265,665613.44,725586,734446.5,735241.06,672910.6,707901.4,722977.25,760507.9,799803.7,837742.4,753462.7,1181463.4
"194_216.143_0.697",3766,3766,3766,53375.137,56119.496,58705.87,54628.953,64294.938,54170.24,69471.984,59616.223,46867.027,53213.91,60972.42,64159.355,60057.76,74020.72,70548.88,63943.465,62448.785,60883.105,62810.54,57055.844,62104.02,55438.05,70057.49,64127.043,61310.258,62134.96,40491.293,68891.945,62762.477,60724.348,44986.875,69103.63,49121.71,74206.25,50405.15,71460.51,114179.52
"197_310.114_0.665",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,30663.434,3766,3766,3766,3766,3766,3766,3766,30845.19,25662.541,22317.572,13175.455,9940.67,12122.538,3766,3766,4650.8936,3766,3766,3766,3766
"202_212.111_0.735",3766,3766,3766,70836.75,109814.84,115945.68,76737.08,115626.98,116517.58,74439.164,114101.35,119070.36,76649.27,116989.39,122021.086,83075.945,89568.73,88466.766,121742.875,74214.24,113774.68,120565.484,76866.34,83350.92,71699.61,127233.05,89555,82608.25,117514.59,123575.35,123723.43,120991.32,111035.664,92236.52,95519.35,125964.125,123778.65,130596.734,117334.73,134427.83
"203_211.108_0.736",3766,3766,3766,1086787.4,1071188.6,1130929.5,1098110.4,1107818.1,1124288.6,1090273.4,1102658.2,1149477.8,1111161.9,1130474.1,1165461.2,1130958.6,1252104.6,1152433.5,1175770.5,1030203.2,1118414.5,1160601.8,1161010,1202812.4,1116501.4,1223065.2,1143653.6,1145245.9,1103784.9,1205835.6,1202919.2,1185215.2,1074897.9,1197672.9,1197211.2,1202170,1180709.4,1231823.2,1110841,1774736.5
"204_176.057_0.735",3766,3766,3766,13236.627,15085.227,18652.695,12499.485,10369.225,18959.697,3801.0776,14594.201,25076.984,21126.752,19727.36,18648.143,15002.185,9574.84,6502.6655,18070.521,5204.671,15524.967,27368.275,14463.923,25493.879,21650.94,30238.9,31273.922,3766,5885.015,3766,6471.3374,5104.111,4621.884,32938.906,48160.137,3766,3766,3839.8242,3766,3766
"205_228.134_0.737",3766,3766,3766,1218530.9,1206163.6,1288205.5,1234563.9,1266998.4,1276456.4,1241463.8,1256626.6,1310425.8,1249731,1285508.2,1316359.1,1276181.9,1410147.6,1317328.9,1341920.9,1185524,1264416.5,1313224.6,1306585.6,1357210.2,1269422.5,1382795.2,1288724.8,1300268.9,1264573.2,1388583,1354757,1347220.5,1208224.6,1339941.8,1352258.5,1352072.2,1336864,1404186.4,1262752.6,1985203.9
"207_250.116_0.737",3766,3766,3766,410991.2,391201.97,444452.84,407701.3,292901.16,442275.78,372437.25,445140.56,481928.84,460813.34,453544.6,473234.3,312240.06,429494.28,384372.62,494702.5,412532.44,313010.84,329126.72,506943.97,520096.66,510994.44,383469.34,493718.3,466831.47,450791.88,324448.97,501639.75,494890.62,446244.66,377267.44,521440.03,498559.5,345549.66,531142.06,473640.75,774217.7
"208_167.118_0.707",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3797.3564,48131.96,3766,9447.498,6633.429,9272.809,8367.377,11090.246,15837.937,58592.395,51555.332,10008.781,46523.004,48419.02,34284.02,13208.707,27490.924,11760.681,4046.028,26798.793,26152.686,45913.863
"211_239.139_0.74",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,5224.9043,3766,3766,3766,9660.465,22285.146,21450.346,15894.677,29440.943
"213_231.17_0.763",3766,3766,3766,22121.184,3766,7660.7563,9672.228,16454.623,50472.72,38889.234,9491.589,12030.182,15195.684,36232.336,14144.617,15042.017,43630.082,44086.723,14582.361,3766,35633.465,3766,9597.29,13429.47,17462.246,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"215_256.075_0.773",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,6688.1045,3766,3766,3766,4708.6543,3766,3766,3766,3766,3766,3766,5964.234,42897.566,3766,3766,3766,3766,3766
"216_188.074_0.82",3766,3766,3766,33926.066,32901.58,36413.074,33654.066,35907.42,35772.035,28284.912,35335.29,38394.336,36847.473,40542.367,39345.473,37903.973,21504.678,23685.717,40541.855,38692.38,36818.254,39350.51,38449.574,37915.33,36834.098,42632.84,39965.05,42827.344,41510.895,45310.887,44825.25,44562.117,43252.83,40639.426,45464.836,47964.637,50368.574,54114.062,45837.53,74932.88
"220_203.085_0.913",3766,3766,3766,97276.06,14227.28,65008.47,84686.945,84344.54,89761.625,82537.9,27301.748,22060.072,90917.164,27659.926,84078.4,17504.066,69762.92,14812.258,23963.242,72482.81,71478.24,78884.45,133971.62,109123.74,160901.05,26520.06,19808.86,81632.12,24675.064,74887.4,29734.414,32100.434,72724.21,29437.408,25239.025,26099.715,44483.91,47200.61,45755.945,106727.555
"222_192.102_0.842",3766,3766,3766,3766,3766,3766,3766,4304.695,5320.0806,6411.9355,5050.735,5733.1196,10008.76,5617.7026,9901.971,3766,9015.569,4596.1636,12967.305,61549.555,8002.985,11668.835,7411.533,10142.042,10121.272,4311.8784,3766,91211.086,65679.62,137794.88,103081.28,132672.11,93108.555,3766,3766,181939.4,229704.33,215060.72,163908.27,265175.88
"223_155.081_0.926",3766,3766,3766,227231.66,119008.74,151573.55,213983.66,175108.77,219406.34,193491.98,40502.56,166242.36,205605.55,71193.586,185741.62,144339.72,165945.97,97410.516,135145.48,164385.98,171423.53,174204.14,250436.06,232586.62,317297,46548.77,31039.92,170687.06,45180.63,195255.97,167337.73,179005,174962.36,48040.22,47233.94,144092.64,75766.14,69152.07,136075,219770.94
"224_191.09_0.861",3766,3766,3766,135695,124430.38,97105.766,127235.25,119852.05,146111.06,118579.38,108791.76,54166.734,84029.07,131164.1,53520.418,92577.59,95301.38,87544.44,28464.55,3766,54504.89,6818.313,10171.883,45644.863,22814.031,3766,20196.143,3766,3766,3766,3766,3766,3766,18349.342,20448.096,3766,3766,3766,3766,3766
"225_152.071_0.855",3766,3766,3766,31492.598,32771.164,31182.441,31156.375,31882.787,33741.727,29502.516,29275.82,31960.332,29245.559,38850.066,33967.152,31758.701,28835.387,16347.945,30716.553,27269.443,30457.947,30651.834,31391.264,33006.395,27999.395,31730.252,29177.996,28863.86,30174.682,28975.277,28527.736,26210.979,27629.828,33391.63,37435.44,27449.709,25954.824,24982.594,18119.268,45022.785
"226_151.123_0.859",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,13777.317,5222.9023,11678.222,3766,3766,3766,27182.121,208259.06,175699.48,101636.195,184959.12
"227_190.086_0.861",3766,3766,3766,1212692.8,1241551.4,938261,1155142.8,1142484.2,1302775.5,1087048.9,1079980.9,523320.47,752961.44,1313367.2,519391.7,905106.6,904452.25,920692.1,298479.4,55516.223,525046.06,184288.36,257097.73,437705.8,375192.5,118956.414,276948.3,58593.92,59131.203,24694.555,55166.96,50814.137,49884.914,258907.56,260862.97,38555.58,18525.812,47612.08,42375.656,72610.89
"229_176.071_0.882",3766,3766,3766,302416.22,384748.88,257760.97,310376.03,315381.62,409272.9,343680.97,302334.34,150973.39,209268.2,398065.97,143153.33,295210.88,260004.22,278492,42781.473,3766,158069.55,15492.447,32140.303,120161.37,100871.78,3766,38885.07,3766,3766,3766,3766,3766,3766,33240.723,36640.617,3766,3766,3766,3766,3766
"230_216.077_0.953",3766,3766,3766,61025.3,41968.438,52503.703,58422.637,56423.574,64963.895,43411.97,46910.83,56789.82,61100.855,50319.742,58950.844,50577.85,45176.316,27291.162,49223.992,43737.082,56449.32,59297.156,65712.7,65354.69,76001.82,42749.844,28666.717,46908.418,38762.617,47599.12,49044.473,53738.242,49707.395,20005.879,24980.818,48978.613,26347.844,51793.617,36922.92,70863.56
"232_154.086_0.877",3766,3766,3766,16897.96,13021.349,10054.487,9417.054,21895.506,21872.738,15537.016,11230.958,11963.817,15955.299,19531.814,18418.137,13238.608,3766,13922.368,10842.483,16742.04,14088.185,9264.156,25219.023,11260.997,7520.5635,11845.114,20956.441,18038.814,18691.746,16270.81,14482.936,14032.205,8362.997,18070.012,16561.033,16967.812,15144.646,6966.7964,6238.3667,16086.397
"233_171.113_0.916",3766,3766,3766,1277703.5,1174302.8,1299048.9,1285378.1,1344944.6,1385593.2,1473403.9,1295132.6,1516569.8,1417893.9,1347470.5,1487302.9,1326198.4,1371329,1141894,1516978.4,1259821.6,1347589,1451864.8,1475640.6,1570764.9,1428736.6,1421407.5,1253945,1402635.8,1297862.2,1541991.6,1467352.1,1497399,1387658.2,1282339.2,1351855.5,1493367.5,1554739.2,1832815.8,1463920.4,2333532.5
"234_195.113_0.891",3766,3766,3766,315868.84,309690.28,334227.16,322015.3,334551.2,328892.4,430049.78,330782.4,356665.78,338022,345206.78,352206.3,342091.03,418088.25,368546,359305.56,399510.72,337800.06,357189.3,359972.5,370949.62,347607.6,378959.78,355257,441306.78,424260.66,464805.4,538169.56,504141.62,488119.88,370680.88,380095.88,552706.2,620727.44,633525.7,626432.75,963693.7
"235_158.06_0.917",3766,3766,3766,191789.73,226688.88,167478.6,171261.81,182999.28,216567.47,171302.02,193419.66,73105.87,115283.836,190547.47,67075.734,137966.94,154636.55,148035.69,36933.1,3766,69511.3,8087.7886,25709.078,67068.3,38522.977,3766,27393.545,3766,3766,3766,3766,3766,3766,25447.99,27101.604,3766,3766,3766,3766,3766
"237_228.134_0.908",3766,3766,3766,221923.78,217321.83,225061.58,224419.44,223113.23,231253.7,209129.22,220249.61,233805.5,226831.5,227067.39,229626.31,229350.47,246354.86,239530.17,229993.23,230374.52,219552.94,223942.14,230285.05,241853.08,211094.78,251627.23,224178.69,266019.84,254941.22,268411.56,287396.88,292331.28,264053.25,244264.14,245994.11,298885.12,372812.4,390182.44,334123,555472
"238_211.108_0.908",3766,3766,3766,185338.38,178734.64,185125.94,184874.84,197617.83,189578.19,177342.22,191663.06,202210.64,189060.48,193678.11,194723.78,185908.31,193556.89,205942.86,200001.56,205897.23,177501.5,192490.34,194813.02,198548.8,188717.92,224175.88,194576.58,217572.02,215149.73,214531.73,242763.64,249550.78,227875.95,205797.45,225285.9,257621.4,335366.4,342118.12,305326.7,468537.8
"241_250.116_0.921",3766,3766,3766,75100.445,75046.25,83424.51,80760.12,23379.62,81313.62,73546.28,85387.89,28082.637,88908.33,88182.62,92596.95,84299.984,82591.93,74994.65,96950.836,91566.055,88105.72,88858.52,95736.57,100121.305,88947.96,103676.23,100927.95,95433.76,96350.22,108064.71,116482.96,115261.195,101696.58,107337.7,109505.88,116636.76,162136.64,156899.31,136080.78,233631.23
"243_212.111_0.906",3766,3766,3766,3766,5805.492,15076.086,8468.787,13290.244,8330.09,7004.1235,13189.488,13777.97,13550.935,4883.889,3766,15172.583,11618.293,10485.965,9001.75,14100.653,13444.107,15675.435,5294.64,12492.228,4346.736,16142.63,15498.63,17322.201,17208.805,17226.127,14706.941,20231.438,12780.433,15857.072,3766,17851.592,28152.324,21189.398,27470.006,49439.625
