ID1,ID2,EdgeType,Score,Annotation
3951,3952,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9824
3996,3999,MS1 annotation,2.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0036
4027,4035,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9830
4027,4040,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9565
4035,4040,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
4044,4058,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0372
4045,4053,MS1 annotation,2.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0477
4046,4054,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9821
4052,4058,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
4067,4073,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
4169,4170,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9565
4401,4403,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
4433,4439,MS1 annotation,2.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9929
4516,4517,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9551
4535,4545,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9564
4560,4563,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9561
4561,4563,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
4561,4563,MS1 annotation,3.000,[M+NH4]+ [2M+2H]2+ dm/z=17.0266
4616,4620,MS1 annotation,2.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9933
4623,4625,MS1 annotation,2.000,[2M+NH4]+ [M+H]+ dm/z=255.1836
4665,4667,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9564
4738,4744,MS1 annotation,4.000,[2M-2H2O+2H]2+ [M+NH4]+ dm/z=35.0378
4738,4745,MS1 annotation,4.000,[2M+2H]2+ [M+NH4]+ dm/z=17.0259
4738,4746,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9544
