row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,t0_BS_1.mzML Peak area,t0_BS_2.mzML Peak area,t0_BS_3.mzML Peak area,t0_BS_C.mzML Peak area,t0_Ec_1.mzML Peak area,t0_Ec_2.mzML Peak area,t0_Ec_3.mzML Peak area,t0_Ec_C.mzML Peak area,t1_BS_1.mzML Peak area,t1_BS_2.mzML Peak area,t1_BS_3.mzML Peak area,t1_BS_C.mzML Peak area,t1_Ec_1.mzML Peak area,t1_Ec_2.mzML Peak area,t1_Ec_3.mzML Peak area,t1_Ec_C.mzML Peak area,t2_BS_1.mzML Peak area,t2_BS_2.mzML Peak area,t2_BS_3.mzML Peak area,t2_BS_C.mzML Peak area,t2_Ec_1.mzML Peak area,t2_Ec_2.mzML Peak area,t2_Ec_3.mzML Peak area,t2_Ec_C.mzML Peak area,t3_BS_1.mzML Peak area,t3_BS_2.mzML Peak area,t3_BS_3.mzML Peak area,t3_BS_C.mzML Peak area,t3_Ec_1.mzML Peak area,t3_Ec_2.mzML Peak area,t3_Ec_3.mzML Peak area,t3_Ec_C.mzML Peak area,t4_BS_1.mzML Peak area,t4_BS_2.mzML Peak area,t4_BS_3.mzML Peak area,t4_BS_C.mzML Peak area,t4_Ec_1.mzML Peak area,t4_Ec_2.mzML Peak area,t4_Ec_3.mzML Peak area,t4_Ec_C.mzML Peak area,t5_BS_1.mzML Peak area,t5_BS_2.mzML Peak area,t5_BS_3.mzML Peak area,t5_BS_C.mzML Peak area,t5_Ec_1.mzML Peak area,t5_Ec_2.mzML Peak area,t5_Ec_3.mzML Peak area,t5_Ec_C.mzML Peak area,t6_BS_1.mzML Peak area,t6_BS_2.mzML Peak area,t6_BS_3.mzML Peak area,t6_BS_C.mzML Peak area,t6_Ec_1.mzML Peak area,t6_Ec_2.mzML Peak area,t6_Ec_3.mzML Peak area,t6_Ec_C.mzML Peak area,t7_BS_1.mzML Peak area,t7_BS_2.mzML Peak area,t7_BS_3.mzML Peak area,t7_BS_C.mzML Peak area,t7_Ec_1.mzML Peak area,t7_Ec_2.mzML Peak area,t7_Ec_3.mzML Peak area,t7_Ec_C.mzML Peak area,t8_BS_1.mzML Peak area,t8_BS_2.mzML Peak area,t8_BS_3.mzML Peak area,t8_BS_C.mzML Peak area,t8_Ec_1.mzML Peak area,t8_Ec_2.mzML Peak area,t8_Ec_3.mzML Peak area,t8_Ec_C.mzML Peak area,t9_BS_1.mzML Peak area,t9_BS_2.mzML Peak area,t9_BS_3.mzML Peak area,t9_BS_C.mzML Peak area,t9_Ec_1.mzML Peak area,t9_Ec_2.mzML Peak area,t9_Ec_3.mzML Peak area,t9_Ec_C.mzML Peak area
28,267.0352536,0.24636556,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,270669.12,0,0,0,0,188714.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382623.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490256.5,0
29,445.1199451,0.27517855,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111718.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,284.0489854,0.29139906,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,127769.734,0,0,0,0,45817.29,87621.97,123643.766,0,0,103408.12,0,0,0,0,0,0,0,0,141756.58,144551.81,0,0,0,95007.84,0,0,71652.2,0,0,0,0,140709.11,137709.25,147599.69,0,152404.78,0,0,0,0,138757.31,0,0,0,147850.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158943.36,0,0,0,0,0,0
32,281.0508198,0.30470824,,,,,,,,,,,0,0,0,4975924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3831062.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,239.0947372,0.34841657,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140903.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131331.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,161.0821361,0.3490361,,,,,,,,,,,233508.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417739.66,0,0,0,0,0,153208.97,0,158463.42,271726.84,0,0,179331.3,0,261744.89,0,0,75267.84,0,0,0,0,0,0,0,0,104662.69,272735.62,184319.39,0,210130.88,0,0,129872.91,0,183599.25,0,557377.5,162122.95,0,0,0,810781.75,111369.59,0,196017.45,331558.47,0,167287.56,191999.75,355173.94,0,76128.24,0,85951.46,166395.14,0,166906.97,186807.58,172402.52,0,0,0
38,227.0220221,0.34959543,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92895.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103989.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,302.0587038,0.3513635,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92388.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133040.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,267.0352211,0.3668502,,,,,,,,,,,0,0,0,0,0,217466.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307617.88,260261.11,0,0,0,0,0,326263.12,0,0,0,0,0,0,333201.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382668.44,0,0,404931.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,161.0821091,0.43126693,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88825.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,284.0490165,0.45451722,,,,,,,,,,,0,0,0,0,0,0,0,0,121119.67,0,0,130463.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139074.42,141790.16,0,0,0,0,0,0,0,139931.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151041.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172691.81,0,0
52,281.0508466,0.45842838,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5192061.5,0,0,0,5527602.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6976852,0
53,355.0695706,0.4636457,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,45400.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54136.19,0,0,0,0,0,0
55,267.0351114,0.47285467,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303702.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,161.0821149,0.50325435,,,,,,,,,,,0,498408.38,0,621443.3,662816.94,608143,493026.03,415745.53,1494666.1,1425199.2,240332.92,329361.53,173251.86,150041.39,0,54111.914,0,0,412242.38,0,126028.87,191259.44,176101.08,136633.36,144904.95,76282.43,0,119920.15,295504.22,103480.805,173472.62,119988.81,0,197126,146014.88,111431.09,248450.83,269773.72,0,60157.727,0,120344.98,102395.2,222084.02,121636.52,118742.15,213494.1,165471.17,484712.84,139588.6,92662.81,113122.62,72725.83,1331088.2,246502.27,235057.9,975688.4,369831.22,150273.06,224968.94,165346.61,273017.94,87080.71,207330.75,0,195752.03,74864.94,64405.934,300017.7,107943.875,107563.12,92954.33,52632.38,191290.61,139235.95,81180.65,63749.793,0,89184.76,155719.67
61,179.0925871,0.5069047,,,,,,,,,,,0,13394.602,0,66376.8,0,51764.406,24945.006,66341.2,90049.086,88397.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6343.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
