row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,t0_BS_1.mzML Peak area,t0_BS_2.mzML Peak area,t0_BS_3.mzML Peak area,t0_BS_C.mzML Peak area,t0_Ec_1.mzML Peak area,t0_Ec_2.mzML Peak area,t0_Ec_3.mzML Peak area,t0_Ec_C.mzML Peak area,t1_BS_1.mzML Peak area,t1_BS_2.mzML Peak area,t1_BS_3.mzML Peak area,t1_BS_C.mzML Peak area,t1_Ec_1.mzML Peak area,t1_Ec_2.mzML Peak area,t1_Ec_3.mzML Peak area,t1_Ec_C.mzML Peak area,t2_BS_1.mzML Peak area,t2_BS_2.mzML Peak area,t2_BS_3.mzML Peak area,t2_BS_C.mzML Peak area,t2_Ec_1.mzML Peak area,t2_Ec_2.mzML Peak area,t2_Ec_3.mzML Peak area,t2_Ec_C.mzML Peak area,t3_BS_1.mzML Peak area,t3_BS_2.mzML Peak area,t3_BS_3.mzML Peak area,t3_BS_C.mzML Peak area,t3_Ec_1.mzML Peak area,t3_Ec_2.mzML Peak area,t3_Ec_3.mzML Peak area,t3_Ec_C.mzML Peak area,t4_BS_1.mzML Peak area,t4_BS_2.mzML Peak area,t4_BS_3.mzML Peak area,t4_BS_C.mzML Peak area,t4_Ec_1.mzML Peak area,t4_Ec_2.mzML Peak area,t4_Ec_3.mzML Peak area,t4_Ec_C.mzML Peak area,t5_BS_1.mzML Peak area,t5_BS_2.mzML Peak area,t5_BS_3.mzML Peak area,t5_BS_C.mzML Peak area,t5_Ec_1.mzML Peak area,t5_Ec_2.mzML Peak area,t5_Ec_3.mzML Peak area,t5_Ec_C.mzML Peak area,t6_BS_1.mzML Peak area,t6_BS_2.mzML Peak area,t6_BS_3.mzML Peak area,t6_BS_C.mzML Peak area,t6_Ec_1.mzML Peak area,t6_Ec_2.mzML Peak area,t6_Ec_3.mzML Peak area,t6_Ec_C.mzML Peak area,t7_BS_1.mzML Peak area,t7_BS_2.mzML Peak area,t7_BS_3.mzML Peak area,t7_BS_C.mzML Peak area,t7_Ec_1.mzML Peak area,t7_Ec_2.mzML Peak area,t7_Ec_3.mzML Peak area,t7_Ec_C.mzML Peak area,t8_BS_1.mzML Peak area,t8_BS_2.mzML Peak area,t8_BS_3.mzML Peak area,t8_BS_C.mzML Peak area,t8_Ec_1.mzML Peak area,t8_Ec_2.mzML Peak area,t8_Ec_3.mzML Peak area,t8_Ec_C.mzML Peak area,t9_BS_1.mzML Peak area,t9_BS_2.mzML Peak area,t9_BS_3.mzML Peak area,t9_BS_C.mzML Peak area,t9_Ec_1.mzML Peak area,t9_Ec_2.mzML Peak area,t9_Ec_3.mzML Peak area,t9_Ec_C.mzML Peak area
10380,1317.292201,7.41944,,,,,,,,,,,0,0,0,537.13696,1236.6274,788.82605,590.64136,2850.369,9589.932,178794.16,51237.207,21219.49,59668.758,25606.281,19360.66,9572.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749.3201,1124.261,1002.7134,649.11145,1650.226,1250.0005,1973.4951,5435.156,6763.911,3398.6982,0,0,0,3811.5857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10383,265.9622151,7.463168,,,,,,,,,,,55277.184,30028.467,37016.754,308551.72,78418.51,67231.23,88098.69,85952.13,92776.37,26808.793,92175.86,93299.3,96679.414,69838.91,102004.016,97072.055,55188.004,81704.34,96444.81,98922.984,79574.62,95415.41,94829.57,101808.28,97705.055,81494.5,90323.07,98640.57,97423.91,99665.01,100206.375,103199.45,99540.516,76534.56,99478.62,105209.47,106249.39,93701.625,105397.195,106742.12,103267.61,106015.16,449875.84,100754.2,107620.555,107464.74,108501.7,105915.945,101975.44,105999.9,108879.7,103990.34,28479.492,76644.09,82160.1,107152.49,81698.266,82357.17,82327.8,51032.496,81167.34,83204.664,86474.336,86027.45,81989.8,90247.695,70611.51,79667.38,79668.914,92669.14,78214.78,89033.26,83212.06,80321.586,77182.17,81733.86,93149.49,50837.348,73236.055,75441.01
10384,1246.763389,7.473702,,,,,,,,,,,0,0,0,0,0,505.62372,1133.9353,3653.2737,6300.911,4700.0996,2467.033,13897.466,32254.238,7100.0654,5322.7173,23844.877,26237.102,10686.4795,34291.246,10714.795,8072.414,15965.544,27271.46,12588.633,16536.646,6637.304,26782.27,12504.325,25766.766,22396.457,33701.79,20720.582,46815.47,13860.689,18748.55,28870.695,53172.555,32986.887,19966.355,52200.117,43387.047,108544.35,40795.49,50336.137,37145.01,10339.961,99829.61,82343.56,37401.406,53954.926,104206.3,40482.387,70858.96,5511.9956,7946.486,19527.56,6037.5586,5838.6196,8964.546,9843.78,9593.033,18729.613,15015.779,14312.14,17380.125,9668.121,2301.382,5788.838,11631.965,11621.817,11031.841,12746.863,17309.217,28836.637,18746.338,5834.649,11939.71,13461.801,16405.62,15258.537
10385,482.4048309,7.4314146,,,,,,,,,,,40111.477,15507.861,52000.773,35530.484,32374.889,48599.875,61470.258,37908.676,133141.36,29253.674,91318.47,28822.229,27423.246,46723.902,36103.05,15637.533,20026.27,11352.365,16357.329,4971.686,11690.457,8269.392,6904.418,11111.697,13872.691,20323.875,22741.219,11167.663,5975.194,33460.32,6117.2637,5955.591,8185.596,37528.89,16439.03,12205.331,10392.801,11354.823,26658.904,12571.975,21882.969,3777.874,8994.744,15328.853,13377.615,9102.877,14374.304,15275.998,14127.498,35387.29,30180.688,10618.214,9826.338,1919.6289,3984.0776,5544.918,18469.83,10795.2705,13912.979,6232.773,7098.2173,13556.93,3774.7988,5178.8643,12779.513,3817.5361,4925.876,11560.94,7205.971,6708.422,17615.365,10534.812,16531.225,5772.1855,24980.97,9984.101,2692.3267,16924.113,14076.788,5749.3936
10386,218.9195405,7.4101195,,,,,,,,,,,628073.56,35969.953,64695.164,62387.785,61324.4,121305.234,118587.555,121159.47,116202.56,112417.67,73037.75,116206.22,111236.414,112783.586,111591.36,108798.8,60207.28,108206.9,106050.984,109650.9,106601.41,105842.91,107135.42,107465.28,100416.59,102582.625,97143.57,101735.95,101136.38,18858.68,33570.6,79404.2,97076.69,80074.5,97217.25,101529.836,98073.94,61988.25,94246.75,96662.79,86643.85,90079.92,68404.56,98012.91,91850.1,92665.47,82885.62,88860.914,91474.31,89566.7,79805.414,83895.43,32604.215,121994.85,122943.75,36761.21,117289.664,120604.305,345416.22,116474.734,110847.22,48202.434,114497.34,112868.47,95804.28,319160.97,283487.25,300198.4,106238.78,103275.29,84789.67,97688.8,284932.3,275789.2,169441.12,77253.05,95182.47,103058.37,98341.984,92166.88
10387,341.2659718,7.423896,,,,,,,,,,,45302.637,39959.977,69978.625,105418.34,95284.14,77884.78,15057.034,96420.54,76012.88,97938.43,70590.98,76375.16,26090.924,18702.73,42160.383,101734.71,33821.613,35898.926,68837.17,100049.87,99458.98,94541.055,100616.39,96206.625,94560.24,36893.5,41420.562,59090.945,92626.03,64471.688,93135.53,27520.988,86241.26,87917.62,69381.81,68442.055,41553.14,35396.156,81066.07,46750.67,81273.13,9667.279,79483.68,34625.914,74950.336,79935.76,21535.283,75720.38,74304.81,49567.81,107958.95,79426.07,77524.54,35999.293,69262.96,72210.22,71003.34,58861.656,66571.625,149864.22,67580.43,54474.69,28989.426,58695.266,52394.508,64506.117,68722.03,97894.4,58753.004,68734.71,69683.15,71662.63,139615.95,19532.605,131372.77,44492.574,33166.945,66608.7,65170.02,62182.285
10389,207.1239746,7.4288774,,,,,,,,,,,11038.811,3041.2212,24990.049,7934.9146,44308.613,14513.415,36280.086,12441.314,59398.215,23399.309,57637.65,438085,15568.488,36524.023,44547.16,38484.29,51928.08,20188.473,58998.93,58518.17,57883.945,51373.79,32111.414,36901.457,14371.705,57461.867,10267.388,41785.973,59075.94,59083.89,58879.062,41620.84,58876.617,59074.004,50585.42,54568.22,45379.7,58687.387,56464.79,57687.86,60151.26,51820.094,37196.355,46178.61,125473.12,34977.375,47815.04,139671.86,58077,58813.223,10036.683,59085.836,29736.229,53350.8,52878.984,13115.473,10827.717,37024.52,37107.188,32533.191,56978.746,55694.266,46559.586,52942.3,41494.098,56686.863,18219.668,46581.016,56869.883,60037.516,56412.754,54329.29,55051.48,54442.598,27512.453,70253.766,59520.664,115149.414,58811.477,42080.926
10393,964.783699,7.454249,,,,,,,,,,,0,3776.1821,3403.6626,11191.278,13825.055,10930.77,132548.08,15309.498,58806.55,62772.586,7091.0093,47511.348,63465.49,115371.69,29770.557,23116.303,27943.48,67317.76,70259.18,57169.793,72956.664,30824.156,74294.3,50496.414,37930.504,72575.81,209661.27,59160.285,44731.918,73983.98,59005.484,210425.33,51548.984,71470.64,35672.82,73707.59,73134.32,74592.695,63468.367,36402.785,67794.01,19033.21,231000.73,75514.31,38951.3,36126.258,12869.657,70750.74,85604.69,55101.656,64355.582,66980.68,39128.547,63916.016,69939.734,56756.305,27342.787,70713.78,61939.855,58973.83,69113.29,45414.023,56099.676,67658.66,69212.2,37869.93,33083.53,49465.965,68882.2,54106.19,41605.395,13084.996,41450.23,45182.477,39513.97,21188.393,9681.963,66261.805,67587.63,149156.39
10397,752.5370721,7.445844,,,,,,,,,,,47515.152,1875.7578,42106.77,1820.8894,5408.175,4798.233,5845.115,4866.3267,6614.1514,18378.734,5666.976,5002.1245,7853.0166,7327.838,6926.858,4661.6895,6489.578,7108.6123,6493.1553,3664.1428,7110.919,6532.726,6878.5713,5620.662,6314.3564,10877.349,5366.54,7495.619,5628.4087,13718.131,5739.7246,6154.951,4902.2266,6172.6187,4567.2886,5260.1157,5097.9966,3884.5972,4819.465,6648.0293,6745.118,6673.396,4216.776,5339.0884,4290.851,5784.4414,4167.6167,4622.5703,6632.8984,8542.345,4317.313,1561.728,2032.5776,709.66486,1282.1831,4440.4688,1716.9818,606.54584,689.81934,2057.9175,1773.9802,2622.6348,2045.4126,2455.5408,0,2213.616,3455.932,911.9546,1629.7854,2635.3848,2084.2373,1230.5588,2652.6401,2830.0256,2552.1519,2709.522,2200.1138,2766.4146,1741.0596,3846.166
10401,736.5428325,7.438282,,,,,,,,,,,641055.06,144739.3,768207.7,107710.734,147232.83,832785.06,111000.836,146998.25,163751.81,183198.88,160013.02,184525.83,181076.75,151622.78,796665.4,158686.39,101631.47,151201.66,161819.03,153311.64,131815.23,122969.3,155758.62,143790.95,799500.75,157412.16,634243.5,130226.71,755887.5,137486.1,676303.6,153481.03,140056.36,138597.22,124297.29,134333.8,137085.62,712577.6,139408.42,140737.75,134989.03,646617.5,657112.7,130686.45,119495.33,76968.35,87573.64,663176.4,279172.78,584107.56,56622.09,103388.055,77907.58,87238.94,80417.266,216971.61,84379.83,137482.47,93300.16,91592.88,86937.53,78948.71,91357.836,16179.354,51897.05,106985.914,80091.41,28560.107,108870.414,83785.336,78937.984,270690.34,461417.62,70490.78,474504.12,43506.043,106369.414,25105.768,51973.89,184834.61
