filename	ATTRIBUTE_species	ATTRIBUTE_SampleType	ATTRIBUTE_timepoint	ATTRIBUTE_hours	ATTRIBUTE_mins	ATTRIBUTE_replicates
t9_BS_1.mzML Peak area	B.subtilis	With_Treatment	9	47.16666667	2830	1
t9_BS_2.mzML Peak area	B.subtilis	With_Treatment	9	47.16666667	2830	2
t9_BS_3.mzML Peak area	B.subtilis	With_Treatment	9	47.16666667	2830	3
t9_BS_C.mzML Peak area	B.subtilis	Without_Treatment	9	47.16666667	2830	0
t9_Ec_1.mzML Peak area	E.coli	With_Treatment	9	47.16666667	2830	1
t9_Ec_2.mzML Peak area	E.coli	With_Treatment	9	47.16666667	2830	2
t9_Ec_3.mzML Peak area	E.coli	With_Treatment	9	47.16666667	2830	3
t9_Ec_C.mzML Peak area	E.coli	Without_Treatment	9	47.16666667	2830	0
Blank_A.mzML	Media	Blank	NA	NA	NA	NA
Blank_B.mzML	Media	Blank	NA	NA	NA	NA
