"","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML"
"4744_537.272_11.39",11602.842,20980.422,23589.184,0,0,0,5184.065,0,5488.3394,0,0,0
"7577_537.376_14.8",68896.94,79238.44,81794.01,0,0,0,36740.074,27915.164,35745.17,0,0,0
"6626_537.378_12.846",1654.2495,0,0,0,1168.4779,0,0,0,1553.804,0,0,0
"7423_537.378_13.831",2219.2754,2657.5757,4617.0254,7818.0503,5119.367,10805.843,0,0,0,0,0,0
"7116_537.378_13.251",2783.5474,6095.8486,6822.0435,0,0,0,0,0,0,0,0,0
"5593_539.288_12.131",0,1384110.1,0,1504097.9,910338.25,0,0,324240.16,314820.72,23284.082,4051.5117,8158.631
"5479_539.288_12.071",2778979,2890422.8,2770192.5,85522.41,1468701,1653268.6,71293.35,0,0,19683.828,5143.2065,0
"6177_539.394_12.557",4874.211,11842.237,9549.943,0,0,0,7588.747,12810.35,13870.735,0,0,0
"6478_539.394_12.766",21093.262,24914.977,20092.793,0,0,0,16554.162,11869.447,14200.707,0,0,0
"7388_539.394_13.763",10929.219,9021.214,12622.142,0,0,0,0,2899.4294,0,0,0,0
"117_541.174_0.802",98741.82,105903.43,102227.42,97812.76,89146.266,97683.98,63772.043,60340.03,70636.6,64678.168,70939.26,67415.55
"6032_541.335_12.479",61186.49,75061.2,75162.7,0,0,1502.9818,20528.713,24794.646,19394.424,0,0,0
"7445_542.405_13.839",15056.963,13439.635,13702.864,192808.58,101507.19,139857.8,0,0,0,0,0,0
"2417_544.312_7.359",11166.641,9789.484,11962.532,0,0,0,3591.931,2142.3662,1515.7958,0,0,0
"6545_544.384_12.804",16792.05,5169.1187,10743.951,13718.751,12550.496,11769.349,3982.7197,2159.416,2463.4814,0,0,1890.4025
"7509_544.421_14.151",24097.54,97957.5,33529.13,223542.11,222280.22,82614.83,9492.798,5499.5605,6976.4873,0,0,0
"7514_544.421_14.224",35608.812,25023.041,0,580672.25,253669.3,267614.56,0,0,0,0,0,0
"7537_544.421_14.463",20224.02,17083.48,15101.613,78930.2,76086.914,75741.79,0,0,0,0,0,0
"7543_544.421_14.58",13281.747,14085.395,13654.89,108106.24,100531.03,90092.29,0,0,0,0,0,0
"6038_546.4_12.483",129247.45,103473.34,121938.17,141571.55,158321.89,157255.62,92622.77,90891.34,96614.336,77115.14,80263.086,76932.36
"6763_546.4_12.944",20511.926,22429.406,9391.652,10042.382,14634.582,4751.4873,7787.302,6743.0566,5146.5107,0,0,0
"7433_546.4_13.829",20650.303,21348.93,19162.387,13024.401,13163.616,15420.852,28786.45,32997.047,29616.477,20623.02,22572.912,24634.293
"7471_546.401_13.916",21312.234,21052.645,18063.486,4271.7217,9921.065,8844.399,9352.14,13046.897,7738.6387,0,0,0
"1806_548.328_6.648",57596.78,57480.79,61045.53,87697.13,89444.56,75077.27,42874.848,39948.035,40226.86,30003.629,36904.75,34191.566
"6514_549.34_12.794",25270.697,25194.295,21130.062,30198.22,14467.189,6325.7974,7142.463,5186.6934,10200.598,6771.8403,4356.23,5725.7837
"4499_551.248_11.114",0,19423.393,2439.7363,16674.252,16880.357,30155.242,0,2648.831,10683.482,2751.8096,15819.523,9849.425
"3644_551.252_9.745",0,0,8057.3906,0,0,0,0,0,0,0,0,0
"7469_551.356_13.916",0,2309.2568,2412.522,0,0,0,0,0,0,0,0,0
"6764_551.357_12.937",16200.9375,17418.963,14223.486,10717.004,13390.26,9871.845,2995.3352,8087.6646,5445.8916,0,0,0
"3901_553.267_10.327",3152.2695,0,0,0,0,12505.846,0,0,0,0,0,0
"3714_553.267_9.899",10059.529,0,0,0,0,3671.2793,3019.0227,0,0,0,0,0
"3697_553.267_9.875",4984.7666,4340.8726,0,0,0,0,3019.0227,0,0,0,0,0
"3638_553.268_9.719",0,3102.0056,0,0,0,4201.382,0,0,0,0,0,0
"3807_553.268_10.094",0,5168.412,0,0,0,0,0,0,0,0,0,0
"7564_553.281_14.717",14101.215,13056.39,13128.283,264998.28,307963.44,286037.3,0,0,0,0,0,0
"4331_553.3_10.91",6214.9824,3095.8794,2359.8079,1729.4167,8274.065,1746.9863,0,0,1904.5638,0,0,0
"4186_553.3_10.713",2121.8967,2052.5835,2142.123,2257.9348,3939.687,5710.407,2552.857,1969.2319,0,0,0,4498.143
"3702_554.406_9.888",53421.582,59041.414,53729.395,5272.193,4175.993,8379.823,80850.875,80456.45,82930.68,72185.266,68324.48,73616.13
"4543_555.283_11.162",36521.33,39755.984,18667.082,26981.7,31902.219,7335.622,2321.5967,2315.3813,2696.4019,0,0,0
"4745_555.284_11.39",33621.797,34055.66,34871.76,0,0,0,3588.2734,4300.6943,6611.182,0,0,0
"459_556.26_4.556",103533.27,130845.37,109193.695,36918.117,30465.041,42186.66,88946.11,96671.99,92941.03,88615.63,95408.16,96884.09
"3482_556.303_9.394",12386.255,11125.563,12878.156,76338.95,77482.01,93748.984,0,1712.0187,1801.7202,0,0,0
"5666_557.298_12.196",0,0,0,99682.58,179512.14,0,114088.836,91616.336,0,0,0,0
"5545_557.299_12.108",1018251.2,997807.06,959031.75,507914.3,509393.06,590622.75,0,120605.54,110086.1,0,0,0
"5412_557.299_12.004",56315.547,40706.85,31716.2,21839.562,25421.678,30956.105,6124.376,12299.969,14442.004,0,0,0
"6358_557.327_12.672",21895.484,18317.82,22460.645,222151.7,224662.1,237266.66,0,0,0,0,0,0
"6479_557.405_12.767",2230.207,4559.9976,3641.703,0,0,0,0,2342.1914,0,0,0,0
"3486_558.379_9.401",49262.316,49689.79,56186.29,20780.115,18918.582,20632.416,57278.402,62260.83,66759.805,74270.336,75933.73,77780.15
"3341_558.379_9.081",112762.92,109674.95,121249.86,129931.87,128945.86,136049.33,140146.31,139371.06,150719.23,107778.586,111308.81,118565.07
