"","DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML"
"7755_412.196_6.497",8115,8115,8115,49401.93,103190.164,114916.266,133667.08,104931.72,115420.66,113510.664,105236.875,59633.08,101829.53,66315.69,34651.992
"39604_413.266_14.701",72109.44,101212.516,86745.34,39714.156,25669.258,36232.07,43037.668,36790.586,35130.266,9230.072,15123.117,13894.786,8115,8115,8115
"37490_413.269_12.784",8115,8115,8115,70859.78,58004.43,37740.98,287179.84,292600.56,326301.16,43591.887,33777.92,8940.5625,8115,15090.407,18607.578
"10421_414.176_6.9",8115,8115,8115,136331.56,179866.1,126703.734,76066.664,189345.56,43955.72,400020.28,53959.535,134212.33,140596.75,215219.83,34389.547
"12090_414.176_7.153",8115,8115,8115,36302.27,175980.23,176549.92,268827.22,211318.14,21785.533,59198.77,90417.945,61311.223,130260.99,53167.27,42052.61
"13842_414.176_7.431",8115,8115,8115,65171.72,52292.484,137095.53,141923.83,1470319.8,110309.69,151846.3,91279.17,127434.21,57862.18,88803.78,60223.152
"11470_414.226_7.064",8115,8115,8115,38034.973,47959.69,43196.105,75977.734,110573.65,91424.59,25025.605,24157.205,46228.746,47167.406,20136.674,40414.77
"39140_414.321_13.588",8115,8115,8115,15023.102,12649.063,16222.7,32570.922,26208.78,35738.28,8115,8115,8115,8115,8115,8115
"37061_414.322_12.641",224511.12,194003.89,189394.34,28195.979,41376.914,36354.598,63103.527,29453.277,40725.363,16544.51,9863.549,8713.337,13651.59,8115,8274.148
"3202_415.254_5.612",16653.357,17602.463,19481.719,165391.33,158418.34,163197.97,227414.7,229532.88,223716.62,140101.72,145416.22,132143.83,117261.43,118997.88,141275.3
"39369_415.288_13.85",8115,8115,8115,75104.914,72766.46,62012.934,102100.01,104428.52,96627.55,27951.402,33397.996,31221.998,8115,8115,8115
"39471_415.288_14.126",8115,8115,8115,17362.906,17191.574,17395.133,49302.06,45858.81,44226.246,8115,8115,8115,8115,8115,8115
"36397_415.307_12.542",1048770.4,478084,1114326.1,218699.3,571114.6,206774.89,447188.78,919474.75,426469.53,85648.23,95698.12,72535.03,8115,8115,8115
"36667_415.325_12.544",39402.496,29072.408,44134.188,8115,8115,8115,8115,8115,8115,8115,8115,8115,8115,8115,8115
"13569_416.192_7.374",8115,8115,8115,236926.97,305944.38,432450.1,293739.1,263328.22,151868.25,189856.11,239038.31,204913.3,155670.22,209042.73,198762.05
"4730_416.228_5.95",8115,8115,8115,63171.06,70564.86,38251,8115,18270.06,11499.266,73265.195,40160.902,39250.56,65355.46,30012.752,27386.342
"5526_416.249_6.119",8115,8115,8115,152919.47,146223.98,176173.28,214773.62,214105.75,232167.86,95100.71,116124.75,105674.6,92408.17,98413.78,93470.74
"37054_416.29_12.656",8115,8115,8115,184348.45,135257.61,156942.69,292116.06,213576.55,301609.6,21280.357,24572.268,40606.61,8115,8115,8115
"35231_416.301_12.071",8115,8115,8115,86995.09,82063.945,86032.29,60131.633,52347.457,75707.98,53647.605,49632.926,79192.83,70256.766,56278.99,56606.664
"38939_416.337_13.39",8115,8115,8115,83312.17,91140.75,72732.72,73560.19,78411.586,67745.64,66616.64,29703.559,68398.375,90608.27,81030.31,64970.59
"39108_416.337_13.538",8115,8115,8115,72028.734,62796.367,73969.33,71822.195,75920.234,63988.36,66710.086,58026.02,57422.344,57099.445,58393.906,48242.48
"39212_416.337_13.67",8115,8115,8115,36975.684,36931.793,34393.715,25954.246,24090.459,24094.383,27610.934,35354.695,31317.068,35954.312,30457.975,26855.943
"38717_416.337_13.251",8115,8115,8115,440810.62,333332.4,332557.5,384857.53,360589.25,366637.25,327803.7,294193.84,321697.84,316594.4,316630.34,329977.75
